﻿NewsIssueTitle,Issue {0},ฉบับ{0}
NewsTitle_Introduction,Opening Remarks,ประโยคเปิด
NewsTitle_FrontPage,News of This Issue,ข่าวฉบับนี้
NewsTitle_Brief,Rivers and Lakes Briefing,จดหมายข่าวยุทธภพ
NewsTitle_Anecdote,Anecdotes and Tales,เกร็ดเล็กเกร็ดน้อยและนิทาน
NewsTitle_PeopleComment,Character Review,ความเห็นตัวละคร
NewsTitle_KungfuComment,Martial Arts Review,ทบทวนศิลปะการต่อสู้
NewsTitle_Rank,Fame and Fortune List,รายการชื่อเสียงและโชคลาภ
NewsTitle_Forces,Jianghu Trends,ทิศทางในยุทธภพ
NewsTitle_Wanted,Bounty Hunting,ล่าเงินรางวัล
NewsTitle_GameTips,Game Tips,เคล็ดลับเกม
CharPropName_综合,General,ทั่วไป
NewsContent_Rank,"Current {0} Power Ranking\nFirst Place {1}\nSecond Place {2}\nThird Place {3}","อันดับความแข็งแกร่ง {0} ปัจจุบัน\nอันดับ1 {1}\nอันดับ2 {2}\nอันดับ3 {3}"
NewsContent_Competition,"Current {0} Ranking\nFirst Place {1}\nSecond Place {2}\nThird Place {3}","อันดับ {0} ปัจจุบัน\nอันดับ1 {1}\nอันดับ2 {2}\nอันดับ3 {3}"
NewsContent_Wanted,"{0}'s {1} has made an enemy of {2}, and is about to face the full force of {2}.",{0}ของ{1}ได้สร้างศัตรูให้กับ{2}และกำลังจะเผชิญหน้ากับพลังเต็มกำลังของ{2}
NewsContent_UnitedWanted,{0} and {1} have jointly issued a bounty in the martial world. Any disciple who discovers {2} can execute him on the spot.,{0} และ {1} ได้ร่วมกันตั้งค่าหัวในยุทธภพ ศิษย์คนใดพบเห็น {2} สามารถสังหารได้ทันที
TestKey_开篇语,"To assist all martial artists in navigating the Jianghu, this newsletter officially begins its serialization. We hope that with the help of this newsletter, all martial artists can carve out their own place in these turbulent times.",เพื่อช่วยเหลือนักศิลปะการต่อสู้ทุกคนในการนำทาง เจียงหู่ จดหมายข่าวนี้จึงเริ่มต้นการเรียงลำดับอย่างเป็นทางการ เราหวังว่าด้วยความช่วยเหลือจากจดหมายข่าวฉบับนี้ นักศิลปะการต่อสู้ทุกคนจะสามารถกำหนดจุดยืนของตนเองในช่วงเวลาที่วุ่นวายเหล่านี้ได้
AuctionHiddenNews,"{0} has unveiled a top-tier auction item {1}. After a thrilling competition, it was finally won by {2}.",{0}ได้เผยโฉมรายการประมูลระดับท็อป{1}หลังจากการแข่งขันอันน่าตื่นเต้น ในที่สุดก็ได้รับชัยชนะ{2}
NewsContent_UnitedWanted_Seperator,、,、
TestKey_逸闻掌故_1,"Five years ago, Bianjing fell, two sects were captured by Beiyan, Duke Kang fled in panic, and with the escort of eight heroes, he finally escaped and established a new Song regime in Lin'an City, vowing to resist Beiyan to the end.",เมื่อห้าปีก่อนเปียนจิงล่มสลายและสองสำนักถูกเป่ยหยานคุมขังไว้ อ๋องคังหลบหนีไปด้วยความตื่นตระหนก ภายใต้การคุ้มกันของวีรบุรุษทั้งแปด ในที่สุดเขาก็รอดพ้นจากภัยอันตราย และสถาปนาราชวงศ์ซ่งใหม่ในเมืองหลินอันขึ้น โดยสาบานว่าจะต่อสู้กับเป่ยหยานให้ถึงในที่สุด.
TestKey_逸闻掌故_2,"Ten years ago, the Beiyan cavalry frequently harassed the northern border of the Great Song. The Song soldiers, long accustomed to peace, were unable to resist the fierce Beiyan cavalry, and the border people were plunged into dire straits. The fate of the Great Song was hanging by a thread.",เมื่อสิบปีที่แล้ว ทหารม้าเป่ยหยานมักคุกคามชายแดนทางเหนือของเพลงยิ่งใหญ่บ่อยครั้ง ทหารซ่งซึ่งคุ้นเคยกับความสงบมายาวนาน ไม่สามารถต้านทานทหารม้าเป่ยหยานที่ดุร้ายได้ และผู้คนบริเวณชายแดนก็ตกอยู่ในภาวะคับแคบที่เลวร้าย ชะตากรรมของเพลงอันยิ่งใหญ่ถูกแขวนไว้บนเส้นด้าย
TestKey_逸闻掌故_3,"Five years ago, after the fall of Bianjing, Beiyan, in order to consolidate the northern situation, supported Liu as the king and established a puppet regime with the name ""Qi"".","ห้าปีที่แล้ว หลังจากการล่มสลายของเปี้ยนจิง เป่ยเอี้ยนได้ก่อตั้งระบอบการปกครองหุ่นเชิดขึ้นโดยใช้ชื่อว่า ""ฉี"" เพื่อรวบรวมสถานการณ์ทางตอนเหนือให้มั่นคงและสนับสนุนหลิวหยูขึ้นเป็นฮ่องเต้"
TestKey_逸闻掌故_4,"Fifteen years ago, Emperor Huizong wrongly believed in slander, and the Yang family was tragically exterminated. The world-shaking Yang Family Pear Blossom Spear also disappeared from the world. As a result, the northern Yan country was able to breathe and develop, eventually leading to the fall of Bianjing.","สิบห้าปีก่อน, ฮ่องเต้ฮุ่ยซงหลงเชื่อเรื่องใส่ร้ายอย่างผิดๆ และตระกูลหยางก็ถูกกวาดล้างอย่างเหี้ยมโหด หอกหลีฮวาแห่งตระกูลหยางอันเลื่องชื่อก็หายไปจากโลกนี้ด้วย ส่งผลให้แคว้นเยี่ยนตอนเหนือสามารถฟื้นฟูและพัฒนาได้ ในที่สุดก็นำไปสู่การล่มสลายของเปี้ยนจิง"
TestKey_逸闻掌故_5,"Twelve years ago, Fang Xiaoian established the ""Holy Fire Sect"" in the Tianshan Mountains of the Western Regions, widely recruiting talents from all over the world. It quickly grew into a force not to be underestimated. The Great Song sent troops to encircle and suppress it several times, but all returned in vain.","เมื่อ 12 ปีที่แล้ว ฟางเซียนได้ก่อตั้ง ""นิกายไฟศักดิ์สิทธิ์"" ในเทือกเขาเทียนซานในภูมิภาคตะวันตก โดยสรรหาผู้มีความสามารถจากทั่วทุกมุมโลกอย่างกว้างขวาง มันเติบโตอย่างรวดเร็วจนกลายเป็นพลังที่ไม่ควรมองข้าม บทเพลงอันยิ่งใหญ่ส่งกองทหารมาล้อมและปราบปรามหลายครั้ง แต่ทั้งหมดกลับไร้ประโยชน์"
TestKey_逸闻掌故_6,"Fourteen years ago, some Japanese people landed in the Great Song from the East Sea and built a city on an island in the East Sea, named ""Dragonfly City"". The Great Song navy spent several years but could not find the location of Dragonfly City. Now, there are often Japanese martial artists challenging the major sects of the Central Plains. They are ruthless and do not respect martial ethics, and are despised by all major sects.","สิบสี่ปีที่แล้ว ชาวญี่ปุ่นบางส่วนเดินทางมาจากทะเลจีนตะวันออกในสมัยราชวงศ์ซ่ง และสร้างเมืองบนเกาะในทะเลจีนตะวันออก ชื่อว่า ""เมืองปิงอิง"" กองทัพเรือแห่งราชวงศ์ซ่งล้มเหลวในการหาที่ตั้งของเมืองเฟิงเฟิงหลังจากใช้เวลาหลายปี ทุกวันนี้ ปรมาจารย์ด้านศิลปะการต่อสู้ของญี่ปุ่นมักจะท้าทายนิกายหลัก ๆ ในที่ราบภาคกลาง พวกเขาไร้ความปรานีและไม่เคารพศิลปะการต่อสู้ และถูกดูถูกโดย นิกายสำคัญต่างๆ"
TestKey_逸闻掌故_7,"Four years ago, the abbot of Shifa Temple, Master Foyin, closed himself off for meditation due to internal injuries and has not yet emerged.",เมื่อสี่ปีก่อน เจ้าอาวาสแห่งอารามฉีฟา อาจารย์โฝหยิน เก็บตัวทำสมาธิเนื่องจากอาการบาดเจ็บภายใน และยังไม่ออกมา
TestKey_逸闻掌故_8,"Five years ago, when Beiyan broke through Bianjing City, eight anonymous heroes defended Bianjing City together. They faced the enemy's offensive without fear, fighting a thousand enemies alone, but in the end, they could not reverse the situation and could only protect Duke Kang to retreat to Lin'an.",ห้าปีที่แล้ว เมื่อเป่ยหยานบุกทะลวงเมืองเปียนจิง วีรบุรุษนิรนามแปดคนได้ปกป้องเมืองเปียนจิงด้วยกัน พวกเขาเผชิญหน้ากับการรุกของศัตรูโดยไม่เกรงกลัว ต่อสู้กับศัตรูนับพันเพียงลำพัง แต่ในท้ายที่สุด พวกเขาไม่สามารถพลิกสถานการณ์กลับมาได้ และทำได้เพียงปกป้องอ๋องคังให้ล่าถอยไปยังหลินอัน
TestKey_人物点评_1,"Chai Wangye: A descendant of the former royal family, he is wealthy and was granted a royal title for supporting Duke Kang's ascension to the throne. He is one of the three pillars of the New Song.",ไฉหวังเย่: ลูกหลานของอดีตราชวงศ์ เขาร่ำรวยและได้รับพระราชทานบรรดาศักดิ์จากการสนับสนุนการขึ้นสู่บัลลังก์ของอ๋องคัง เขาเป็นหนึ่งในสามเสาหลักของราชวงศ์ซ่งใหม่
TestKey_人物点评_2,"Ye Pengju: The marshal of the Ye Family Battalion, he is highly skilled and upright, treats his soldiers like his own children, and has repelled Beiyan's offensive many times. He is one of the three pillars of the New Song.",เย่เผิงจู: แม่ทัพใหญ่แห่งกองพันตระกูลเย่ เขามีทักษะสูงและเที่ยงตรง ปฏิบัติต่อทหารของเขาเหมือนลูก ๆ ของเขาเอง และขับไล่การโจมตีของเป่ยหยานมาหลายครั้ง เขาเป็นหนึ่งในสามเสาหลักของราชวงศ์ซ่งยุคใหม่
TestKey_人物点评_3,"Master Hua Yan: The current abbot of Shifa Temple. In his youth, he roamed the Jianghu with a hot blood, committed countless killings, but later repented and devoted himself to studying Buddhism, becoming a high monk.",พระอาจารย์ฮั่วเหยียน : เจ้าอาวาสวัดชิฟาคนปัจจุบัน ในวัยเยาว์ เขาท่องไปใน เจียงหู่ ด้วยเลือดร้อน ฆ่าคนนับไม่ถ้วน แต่ต่อมากลับใจและอุทิศตนเพื่อศึกษาพระพุทธศาสนาจนกลายเป็นพระภิกษุชั้นสูง
TestKey_人物点评_4,"La Tazhang: The junior brother of Zhong Yangzi, the head of the Taoist Sect. He is unconventional and eccentric, but he is a martial genius with high martial arts skills.",ลาทาจาง: น้องชายของ จงหยางจือ เจ้าสำนักเต๋า เขาเป็นคนแหวกแนวและแปลกประหลาด แต่เขาเป็นอัจฉริยะด้านการต่อสู้ที่มีวรยุทธ์ลึกล้ำ
TestKey_人物点评_5,"Jian Chi: As his name suggests, he is obsessed with swords. His swordsmanship has reached a state of perfection, and no one has been able to match him to this day. He has retired from the martial arts world for several years and is currently the owner of the Sword Mountain Villa.",มารกระบี่ : งมงายในกระบี่สมดังชื่อ วิชากระบี่บรรลุถึงขั้นสมบูรณ์พร้อม จวบจนบัดนี้ไร้คู่ต่อกร ล้างมือออกจากยุทธภพมานานปี เวลานี้เป็นเจ้าบ้านของเคหาสน์ซ่อนกระบี่
TestKey_人物点评_6,"Yagyū Musashi: The leader of Dragonfly City, born into the Liu Sheng swordsmanship family, once exterminated the sword-making family, the Ouye family.","ยางิว มุซาชิ : ผู้นำเมืองแมลงปอเกิดมาในตระกูลกระบี่หลิวเซิง ซึ่งครั้งหนึ่งเคยกวาดล้างตระกูลนักสร้างกระบี่, ตระกูลอูเย"
TestKey_人物点评_7,"Chen Yao: The leader of Jiujiang Fotress. With the slogan ""equality of nobility and poverty, equal distribution of wealth"", he has gathered a large number of followers and is a great hero in the martial arts world.","เฉินเหยา : ผู้นำค่ายน้ำจิ่วเจียง ด้วยคำขวัญ ""ความเท่าเทียมกันของขุนนางและความยากจน การกระจายความมั่งคั่งที่เท่าเทียมกัน"" เขาได้รวบรวมผู้ติดตามจำนวนมาก และเป็นวีรบุรุษผู้ยิ่งใหญ่ในยุทธภพ"
TestKey_人物点评_8,"Tang Tai Jun: The old owner of the Ten Thousand Beasts Villa, he is decisive and sensible. He has suffered a lot of hardships for helping the Ye Family Battalion resist the Northern Yan, but he has never wavered. Now he has retired due to old age.",ถังไท่จุน: เจ้าของเก่าของคฤหาสน์หมื่นอสูร เขาเป็นคนเด็ดขาดและมีเหตุผล เขาได้รับความทุกข์ทรมานมากมายในการช่วยกองพันตระกูลเย่ต่อต้านเยี่ยนเหนือ แต่เขาไม่เคยหวั่นไหว ตอนนี้เขาเกษียณแล้วเพราะวัยชรา
TestKey_人物点评_9,Hong Xiaoqi: A small beggar who has struggled in the Nameless Village. He is unruly and rogue. It's best to stay away from him.,หงเสี่ยวฉี: ขอทานตัวเล็ก ๆ ที่ต้องดิ้นรนในหมู่บ้านไร้นาม มีนิสัยเกเรและชอบลักขโมย ทางที่ดีควรอยู่ให้ห่างเขาดีกว่า
TestKey_人物点评_10,"Nameless Inn owner: The owner of the inn in Nameless Village. She runs the inn alone. Her cooking skills and appearance are unparalleled, but her temper is really...",เจ้าของโรงเตี๊ยมไร้นาม: เจ้าของโรงเตี๊ยมในหมู่บ้านไร้นาม นางดูแลที่นั่นด้วยคนเดียว แม้จะมีฝืมือการทำอาหารและหน้าตาที่งดงามยากจะหาใครเทียบ แต่อารมณ์ของเธอก็ช่าง...
TestKey_人物点评_11,"Nameless village Village Head: A former top scholar, he has been the Village Head for a lifetime. His son suffered misfortune due to venturing into the martial arts world, so he has a prejudice against martial artists.",หัวหน้าหมู่บ้านไร้นาม: อดีตบัณฑิตมีชื่อ ผู้เป็นหัวหน้าหมู่บ้านมาแทบทั้งชีวิต บุตรชายของเขาประสบเคราะห์ร้ายจากการออกท่องยุทธภพ ทำให้เขามีอคติต่อเหล่าผู้ฝึกยุทธ
TestKey_人物点评_12,"Nameless village hunter: The hunter of Nameless Village, his hunting skills are top-notch, but he always keeps a distance from people and never makes deep friendships. His big wolf dog is extremely fierce, so be careful.",นายพรานหมู่บ้านไร้นาม: นายพรานแห่งหมู่บ้านไร้นาม มีทักษะการล่าสัตว์ที่ยอดเยี่ยม แต่ก็มักจะเว้นระยะห่างจากผู้คนไม่สนิทสนมกับใคร เขาเลี้ยงสุนัขป่าที่ดุร้ายมากเอาไว้ ดังนั้นระวังด้วยล่ะ
TestKey_人物点评_13,"Kong Yidao: The leader of Blue Wind Camp, he is highly skilled and generous. As the leader of the bandits, he always restrains his subordinates, so the Blue Wind Camp area has not been troubled by bandits.",ขงอี้เตา : ผู้นำค่ายวายุคราม ใจกว้างและมากฝีมือ แม้จะถือเป็นผู้นำของกลุ่มโจร แต่ก็มักจะควบคุมดูแลผู้ใต้บังคับบัญชาอยู่เสมอ จึงทำให้พื้นที่ของค่ายวายุครามไม่ถูกรบกวนจากพวกโจรใดๆ
TestKey_人物点评_14,"Ye Yinpeng: The beloved daughter of Ye Pengju, she is in her prime, full of enthusiasm, and does not want to be under her father's protection. She wants to venture out into the martial arts world.",เย่หยินเผิง: ลูกสาวสุดที่รักของเย่เผิงจู นางกำลังอยู่ในช่วงสาวสะพรั่ง เต็มไปด้วยความกระตือรือร้น และไม่ต้องการอยู่ภายใต้การคุ้มครองของพ่อของตน จึงต้องการออกท่องยุทธภพ
TestKey_人物点评_15,"Ye Yun: Ye Pengju's eldest son, he inherited his father's high skills, but he is hot-tempered and disobedient. He has repeatedly made military exploits and violated military regulations, but he is also a rare talent.",เย่หยุน: บุตรคนโตของเย่เผิงจู ได้สืบทอดพรสวรรค์สูงส่งจากผู้เป็นพ่อ แต่กลับมีนิสัยต่างออกไป ทั้งหุนหัน และดื้อรั้น เขาได้ทำผิดทางทหาร และละเมิดกฏครั้งแล้วครั้งเล่า แต่ก็ถือเป็นผู้มากพรสวรรค์ที่ยากจะพบ
TestKey_武功点评_1,"Dugu Nine Swords: Jian Chi's masterpiece of Martial Arts, it seems ordinary but can counter various Martial Arts, reaching the realm of winning without a move.",เก้ากระบี่เดียวดาย : เพลงยุทธชั้นเอกของมารกระบี่ ดูเหมือนธรรมดาแต่กลับแก้กระบวนท่าได้ทั้งปวง บรรลุเขตขั้นไร้กระบวนท่าเหนือกว่ามีกระบวนท่า
TestKey_武功点评_2,"Thousand Miles of Rivers and Mountains: The calligraphy manual of Confucius Temple, the tip of the pen is all about the thousand miles of rivers and mountains of the Song Dynasty, it is extremely mysterious and also hides killing intent, making it difficult for people to resist.",ทิวทัศน์ขุนเขาสายน้ำพันลี้: คัมภีร์อักษรของวัดขงจื้อ ใช้ปลายพู่กันบรรจงวาดขุนเขา และสายน้ำแห่งราชวงค์ซ่งนับพันลี้ ทั้งลึกลับและแฝงจิตฆ่าฟัน ยากจะมีผู้ใดต้าน
TestKey_武功点评_3,"Windless Sword: The ultimate swordsmanship of Jian Chi, it no longer hurts people with the sword edge but can also control people under the sword, it is a profound swordsmanship.",กระบี่ไร้ลม: สุดยอดวิชาของมารกระบี่ ศาสตร์กระบี่ล้ำลึกสุดหยั่งคาด พิชิตศัตรูด้วยกระบี่แม้ไม่ต้องใช้คมกระบี่
TestKey_武功点评_4,"Thunder Spear: The entry-level Martial Arts of Ye Family Battalion, a spear technique used on the battlefield, emphasizing that the spear is as fast as thunder, often the hand rises and the spear has arrived, catching the enemy off guard.",หอกอัสนี: วิทยายุทธเริ่มต้นของกองพันตระกูลเย่ เป็นวิชาหอกสำหรับใช้ในสนามรบ วาดหอกไวดุจสายฟ้า ศัตรูเห็นเพียงมือเริ่มขยับหอกก็เกือบถึงตัว ยากจะตั้งตัวได้
TestKey_武功点评_5,"Pear Blossom Spear: The unique spear technique of the Yang family, when used, it is like pear blossoms falling, extremely beautiful.",วิชาหอกหลีฮวา: วิชาหอกประจำตระกูลหยาง ยามใช้ออกดูงดงามราวกับดอกหลีฮวาที่กำลังร่วงหล่น
TestKey_武功点评_6,"Earth Blade: One of the street knife techniques, often used by rogues, it is difficult to enter the elegant hall.",ดาบพสุธา: หนึ่งในวิชาดาบข้างถนนซึ่งมักถูกใช้โดยเหล่าอันธพาล ยากจะนับรวมไว้เป็นวิชาสูงส่งในแผ่นดิน
TestKey_武功点评_7,"Taizu Long Fist: It is rumored to be created by the Emperor Taizu of the Song Dynasty, it is the basic technique for martial artists today.",หมัดยาว ไทซึ: ว่ากันว่าถูกคิดขึ้นโดยฮ่องเต้ไทซึแห่งราชวงศ์ซ่ง ปัจจุบันกลายเป็นวิชาพื้นฐานสำหรับผู้ฝึกยุทธจำนวนมาก
TestKey_武功点评_8,"Celestial Fist Technique: The fist technique of Melody House, each move is extremely soft and beautiful, like a celestial being descending, making people confused and even forgetting that they are in a fight.",วิชาหมัดสวรรค์: วิชาหมัดของหมู่ตึกท่วงทำนอง มีท่วงท่าแสนงดงามพริ้วไหวเฉกเช่นเทพธิดาลงมาจากสวรรค์ ทำให้ผู้คนตะลึงลาน กระทั่งลืมเลือนไปว่ากำลังต่อสู้อยู่ 
TestKey_武功点评_9,"Thousand Silk Pull: The tune of the Gu Immortal Sect, combined with the sect's own poison technique, makes the listener feel as if there are thousands of spiders crawling inside their body, unknowingly they have been poisoned.",ดึงไหมพันไหม: บทเพลงของนิกายอมตะกู่ผสมผสานกับเทคนิคการวางยาพิษของนิกาย ทำให้ผู้ฟังรู้สึกราวกับว่ามีแมงมุมนับพันคลานอยู่ในร่างกายของพวกเขา โดยไม่รู้ว่าพวกมันถูกวางยาพิ
TestKey_武功点评_10,"Battle Mace Method: A stick technique that Yelv army soldiers must learn, emphasizing stability, accuracy, and ruthlessness. Paired with the Battle Mace as a weapon, it is extremely lethal.",วิธีกระบองรบ: เทคนิคการใช้ไม้เท้าที่ทหารกองทัพเยลฟ์ต้องเรียนรู้ โดยเน้นความเสถียร ความแม่นยำ และความโหดเหี้ยม เมื่อจับคู่กับ กระบองรบ เป็นอาวุธ ก็มีอันตรายถึงชีวิตอย่างมาก
TestKey_武功点评_11,"Wumu Book: A mental method summarized by Ye Pengju himself, rarely seen by others. It is said to contain not only the techniques of breathing and qi circulation, but also the insights of leading troops in battle.",ตำราอู๋มู่: บทสรุปความคิดของเย่เผิงจู ที่เขาเป็นผู้สรุปขึ้นเอง ผู้อื่นยากที่จะได้เห็น กล่าวกันว่าไม่เพียงแต่ประกอบด้วยเทคนิคการหายใจ และการไหลเวียนของลมปราณเท่านั้น แต่ยังรวมไปถึงข้อมูลเชิงลึกของการนำศึกในสนามรบอีกด้วย
TestKey_武功点评_12,"Taichi Fist: A boxing method understood by Zhong Yangzi based on Tai Chi and Bagua, emphasizing the combination of movement and stillness to counteract.",หมัดไทเก็ก: วิชามวยที่ฉงหยางสื่อคิดค้นขึ้นมาโดยใช้หลักการของพื้นฐานวิชาไทเก็กและแปดทิศ โดยเน้นไปที่การผสมผสานการเคลื่อนไหวและความสงบนิ่งเพื่อตอบโต้
TestKey_武功点评_13,"Vairocana Godly Palm: A secret palm technique hidden in the scripture library of Shifa Temple. It is rarely seen in the martial arts world. It is said to be like the coming of the Tathagata, exterminating all the demons in the world when used.",ฝ่ามือยูไล: วิทยายุทธฝ่ามือที่ซ่อนอยู่ในหอพระคัมภีร์ของอารามฉีฟา มีเพียงไม่กี่คนในยุทธภพที่ได้เห็นมัน ว่ากันว่าหากใช้ออกไปเปรียบเสมือนตถาคตเสด็จมาเยือนโลกเพื่อกำจัดวิญญาณชั่วร้ายทั้งหมด
TestKey_武功点评_14,"One Blade: The unique sword technique of Dragonfly City, named One Blade, meaning only one blade is needed. The move is extremely swift, making it unclear when one has been hit.",ดาบเดี่ยว: วิชาดาบอันเป็นเอกลักษณ์ของเมืองแมลงปอ คำว่า ดาบเดี่ยว หมายถึงฟันเพียงครั้งเดียว การเคลื่อนไหวรวดเร็วเป็นอย่างยิ่ง ยากที่จะเห็นว่าลงมือโจมตีเมื่อใด
TestKey_武功点评_15,"Herbal Medical Canon: The secret medical canon of the Plant Sect, which almost includes the rescue methods for all diseases.",หลักการทางการแพทย์ด้วยสมุนไพร: หลักการทางการแพทย์ที่เป็นความลับของนิกายพืช ซึ่งเกือบจะรวมวิธีการช่วยชีวิตสำหรับโรคทั้งหมด
TestKey_游戏小贴士_1,Gathering and crafting do not consume time.,การรวบรวมและการประดิษฐ์ไม่ต้องใช้เวลา
TestKey_游戏小贴士_2,Time continues even if you stand still.,เวลายังคงดำเนินต่อไปแม้ว่าคุณจะหยุดนิ่งก็ตาม
TestKey_游戏小贴士_3,Everyone has their own schedule.,ทุกคนมีตารางเวลาของตัวเอง
TestKey_游戏小贴士_4,Remember to rest and avoid overworking.,อย่าลืมพักผ่อนและหลีกเลี่ยงการทำงานหนักเกินไป
TestKey_游戏小贴士_5,"Sleeping on a straw mat can cause colds, please take precautions.",การนอนบนเสื่อฟางอาจทำให้เป็นหวัดได้ โปรดใช้ความระมัดระวัง
TestKey_游戏小贴士_6,Please avoid being seen by others when sneaking.,โปรดอย่าให้ผู้อื่นเห็นขณะลับๆล่อๆ
TestKey_游戏小贴士_7,"Every choice is important, please be cautious.",ทุกทางเลือกมีความสำคัญ โปรดใช้ความระมัดระวัง
TestKey_游戏小贴士_8,Some objects can be destroyed.,วัตถุบางอย่างสามารถถูกทำลายได้
TestKey_游戏小贴士_9,Don't take things that belong to others.,อย่าหยิบของที่เป็นของผู้อื่น
TestKey_游戏小贴士_10,Committing crimes in the city will result in arrest.,การก่ออาชญากรรมในเมืองจะส่งผลให้มีการจับกุม
TestKey_游戏小贴士_11,Everyone has their own preferences.,ทุกคนมีความชอบของตัวเอง
TestKey_游戏小贴士_12,Some things will happen even if you don't participate.,บางสิ่งจะเกิดขึ้นแม้ว่าคุณจะไม่ได้เข้าร่วมก็ตาม
TestKey_游戏小贴士_13,"Please support the official version, do not buy pirated items.",กรุณาสนับสนุนเวอร์ชั่นอย่างเป็นทางการ อย่าซื้อสินค้าละเมิดลิขสิทธิ์
TestKey_游戏小贴士_14,Some places prohibit animals from entering.,สถานที่บางแห่งห้ามสัตว์เข้า
TestKey_游戏小贴士_15,"There are many paths in life, and success can come from any of them.",มีหลายเส้นทางในชีวิต และความสำเร็จอาจมาจากเส้นทางใดก็ได้
TestKey_游戏小贴士_16,Powerful martial arts are often harder to obtain.,วรยุทธอันทรงพลังมักจะได้มายากกว่า
TestKey_游戏小贴士_17,Using martial arts requires the corresponding weapon.,การใช้วรยุทธต้องใช้อาวุธที่เกี่ยวข้อง
TestKey_本期要闻_1,"The world-renowned courtesan - Miss Qincheng is visiting Lin'an City Maiden House, those who want to see her beauty should seize the opportunity!",โสเภณีชื่อดังระดับโลก - แม่นางชิงเฉิง กำลังเยือนเมืองหลินอันผู้ที่ต้องการเห็นความงามของเธอควรคว้าโอกาสนี้ไว้!
TestKey_江湖简讯_1,"The Grand Marshal of the Yan Kingdom's army suddenly died, the Iron Army of Yan and Yun is leaderless, the remaining troops have retreated to the north, and the crisis in Chuxiang City has been resolved!",แม่ทัพใหญ่แห่งกองทัพแคว้นเยี่ยนเสียชีวิตกะทันหัน กองทัพเหล็กเยี่ยนหยุนขาดผู้นำ กองทหารที่เหลือรอดล่าถอยกลับไปทางเหนือ และวิกฤตในเมืองฉู่เซียงได้รับการแก้ไขแล้ว!
TestKey_江湖简讯_2,"For some unknown reason, the Grand Marshal of the Yan Kingdom's army hastily led the Iron Army of Yan and Yun to retreat to the Yan Kingdom. Chuxiang City has once again escaped from the war. It seems that there is a divine will protecting the people of Chuxiang City.",ด้วยเหตุผลใดไม่ทราบ แม่ทัพใหญ่แห่งกองทัพแคว้นเยี่ยนรีบนำกองทัพเหล็กเยี่ยนหยุนล่าถอยกลับไปยังแคว้นเยี่ยน เมืองฉู่เซียง ได้รอดพ้นจากภัยสงครามได้อีกครั้ง ดูเหมือนว่าจะมีสิ่งศักดิ์สิทธิ์คอยปกป้องผู้คนเมืองฉู่เซียงไว้
