﻿Talking_default,Talk,พูดคุย
Talking_learn,Request,คำขอ
M1101-5_talking,Jewelry,อัญมณี
M1100-1_name,Small Village Bao Dating,เปาต้าถิงแห่งหมู่บ้านเล็กๆ
M1100-1_overview,Ask Bao Dating for ways to make money.,ถามวิธีหาเงินจากเปาต้าถิง
M1100-2_name,Collect Herbs,รวบรวมสมุนไพร
M1100-2_overview,Help the village doctor collect 5 Wolfberries.,ช่วยหมอในหมู่บ้านรวมรวม เก๋ากี้ 5 ชิ้น
M1100-2_overview2,Give 5 Wolfberries to the doctor.,มอบ เก๋ากี้ 5 ชิ้น ให้แก่หมอ
M1100-2_overview3,Chat with the medicine-selling doctor.,คุยกับคนขายยา
M1100-2_option1_dialog,"Young man, can you help me collect Wolfberries?",พ่อหนุ่ม เจ้าช่วยรวบรวม เก๋ากี้ ให้ข้าทีได้ไหม?
M1100-2_option1_1,I'll go collect <color=#c44b0e>Wolfberries</color> right away.,ข้าจะไปรวบรวม <color=#c44b0e>เก๋ากี้</color>เดี๋ยวนี้
M1100-2_option1_2,"I really can't spare the time right now, let's talk about it later.",ตอนนี้ข้าไม่มีเวลา ค่อยมาคุยกันภายหลัง
M1100-3_name,Snake Gall in Wine,สุราดองดีงู
M1100-3_overview,Help the village butcher collect 5 Snake Galls.,ช่วยพ่อค้าเนื้อของหมู่บ้านรวบรวม ดีงู 5 ชิ้น
M1100-3_overview2,Give the Snake Galls to the village butcher.,มอบ ดีงู ให้แก่พ่อค้าเนื้อของหมู่บ้าน
M1100-3_option1_dialog,"(The butcher actually uses Snake Gall to make wine, this...)","(ที่จริงพ่อค้าเนื้อใช้ดีงูเพื่อทำสรุา, เรื่องนี้...)"
M1100-3_option1_1,Snake Gall wine does have some benefits.<color=#097a76>(Medical reaches 30)</color>,สุราดองดีงูนี้มีสรรพคุณอยู่บ้าง <color=#097a76>(ทักษะทางแพทย์ระดับ 30)</color>
M1100-3_option1_2,Snake Gall in wine... Can this be drunk?,สุราดองดีงู...ของแบบนี้ดื่มได้หรือ?
M1100-3_option2_dialog,(Should I help the butcher collect Snake Galls?),(ข้าควรช่วยพ่อค้าเนื้อรวบรวมดีงูหรือไม่?)
M1100-3_option2_1,"Alright, leave it to me.",ตกลง ให้ข้าจัดการเอง
M1100-3_option2_2,I think it's better not to...,ข้าคิดว่าคงดีกว่าที่จะไม่...
M1100-5_name,Doctor's Free Clinic,โรงหมอคนยาก
M1100-5_overview,"The doctor can heal the team for free once, recovering all HP and MP.",หมอสามารถรักษาทั้งกลุ่มฟรีครั้งหนึ่ง ฟื้นฟูพลังทั้ง HP และ MP
M1100-5_talk,Heal,รักษา
M1100-5_option1,I'll count on you then.<color=#097a76>(1 shichen)</color>,เช่นนั้นขอฝากเจ้าด้วย <color=#097a76>(1 ชั่วยาม)</color>
M1100-5_option2,"I feel quite healthy, no need to heal for now.",ข้ารู้สึกแข็งแรงดี มิจำเป็นต้องรักษาแล้ว
M1100-5option1_dialog,Do you need me to help you regulate your Qi and blood?,อยากให้ข้าช่วยปรับลมปราณและกระแสโลหิตหรือไม่?
M1100-11_name,Hide and Seek,เล่นซ่อนหา
M1100-11_overview,Find 3 children.,ตามหาเด็ก 3 คน
R20008-2_name,Xiao Bao's Secret,ความลับของเสี่ยวเป่า
R20008-2_option（1）_dialog,"(He probably won't tell me his secret easily, should I listen to him?)",(เขาคงไม่เผยความลับต่อข้าโดยง่าย ข้าควรฟังข้าหรือไม่?)
R20008-2_option1,"Of course, I want to know.",แน่นอน ข้าอยากรู้
R20008-2_option2,I don't want to know.,ข้าไม่อยากรู้
R20008-2_option3,"Alright, here you go.<color=#097a76>(Wooden sword x1)</color>",เอาล่ะ นี่ของเจ้า <color=#097a76>(กระบี่ไม้ x1) </color>
R20008-2_option4,Let me think about it.,ข้าขอไตร่ตรองสักครู่
R20008-2_overview1,Xiao Bao has something to tell you.,เสี่ยวเป่ามีเรื่องจะบอกท่าน
R20008-2_overview2,Xiao Bao wants a Wooden sword.,เสี่ยวเป่า ต้องการ กระบี่ไม้
R20008-2_overview3,Give the Wooden sword to Xiao Bao.,มอบ กระบี่ไม้ ให้ เสี่ยวเป่า
M1100-17_option1_dialog,"Want to learn Medical? Alright, kid, name a few medicinal herbs and their effects first.",อยากเรียนวิชาแพทย์หรือ? ได้สิ เจ้าหนู ก่อนอื่นลองบอกชื่อสมุนไพรแล้วสรรพคุณมาให้ข้าฟังดู
M1100-17_option1_1,"I've loved Medical since I was a child, this won't be a problem for me.<color=#097a76>(Medical reaches 30)</color>",ตัวข้าชมชอบวิชาแพทย์มานับแต่เด็ก เรื่องนี้ย่อมไม่เป็นปัญหา <color=#097a76>(วิชาแพทย์ถึง 30)</color>
M1100-17_option1_2,Uh... I'm actually untrained in herbs.,เอ่อ... ที่จริงแล้ว ข้าไม่รู้อะไรเกี่ยวกับสมุนไพรเลย
M1100-19_option1_dialog,What do you want to know?,เจ้าอยากรู้เรื่องอะไรล่ะ?
M1100-19_option1_1,I want to understand the classification of martial arts.,ข้าอยากเข้าใจการแยกประเภทของวรยุทธ์
M1100-19_option1_2,I want to know what to pay attention to during a fight.,ข้าอยากรู้ว่าในยามต่อสู้ เราต้องใส่ใจในสิ่งใด
M1100-19_option1_3,How do I distinguish different fighting styles?,ข้าจะแยกแยะรูปแบบการต่อสู้ได้อย่างไร
M1100-19_option1_4,I have no more questions.,ข้าไม่มีคำถามอื่นใดอีกแล้ว
M1100-24_option1_dialog,How much strength do you want me to use?,อยากให้ข้าใช้พลังกี่ส่วนดีล่ะ?
M1100-24_option1_1,I want to challenge you at three-tenths of your strength!<color=#097a76>(Solo challenge)</color>,ข้าอยากประลองกับท่านที่ใช้พลังสามส่วน!<color=#097a76>(ประลองเดี่ยว)</color>
M1100-24_option1_2,I want to challenge you at half of your strength!<color=#097a76>(Solo challenge)</color>,ข้าอยากประลองกับท่านที่ใช้พลังห้าส่วน!<color=#097a76>(ประลองเดี่ยว)</color>
M1100-24_option1_3,I want to challenge you at seven-tenths of your strength!<color=#097a76>(Solo challenge)</color>,ข้าอยากประลองกับท่านที่ใช้พลังเจ็ดส่วน!<color=#097a76>(ประลองเดี่ยว)</color>
M1100-24_option1_4,I want to challenge you at full strength!<color=#097a76>(Solo challenge)</color>,ข้าอยากประลองกับท่านแบบไม่ออมมือ!<color=#097a76>(ประลองเดี่ยว)</color>
M1100-24_option1_5,I'll prepare and come back to request.,ข้าจะไปเตรียมพร้อมแล้วกลับไปทำภารกิจ
M1104-1_name,Village Head's Gift,ของขวัญของผู้ใหญ่บ้าน
M1104-1_overview1,Go talk to the Nameless village Village Head.,ไปคุยกับหัวหน้าหมู่บ้านไร้นาม
M1104-1_overview2,Search for the Secret chamber in the Village head's house.,ค้นหาห้องลับในบ้านของหัวหน้าหมู่บ้าน
M1104-1_overview3,Open the Panlong Chest in the Secret chamber.,เปิดหีบสมบัติมังกรในห้องลับ
M1105-2_name,Forge Weapon,หลอมสร้างอาวุธ
M1105-2_talking,Craft,สร้าง
M1105-2_overview1,"After learning the recipe in your bag, use 2 Iron mines to forge a Cast iron sword.",หลังจากเรียนรู้สูตรในกระเป๋า ใช้ 2 แร่เหล็ก เพื่อหลอม กระบี่หลอมโลหะ
M1105-2_overview2,Talk to the blacksmith with the <color=#c44b0e>Cast iron sword</color> in hand.,คุยกับช่างตีเหล็กขณะที่ถือ<color=#c44b0e>กระบี่หล่อโลหะ</color>
M1400-1_name,Lingzhi under the Tree,เห็ดหลินจืออยู่ใต้ต้นไม้
M1400-1_overview,A Lingzhi is hidden under a pink-leafed tree in the Lost Forest.,เห็ดหลินจอซ่อนอยู่ใต้ต้นใบชมพูในป่าสาบสูญ
M1700-1_name,Ferry across the River,ข้ามแม่น้ำด้วยเรือข้ามฝาก
M1700-1_options1,[Pay] Pay 50 Wen to cross the river.,[จ่าย] จ่าย 50 อีแปะเพื่อข้ามแม่น้ำ
M1700-1_options2,[Pay] Pay 400 Wen to cross the river. (2 people in your party),[จ่าย] จ่าย 400 อีแปะเพื่อข้ามแม่น้ำ (กลุ่มของท่านมี 2 คน)
M1700-1_options3,[Pay] Pay 600 Wen to cross the river. (3 people in your party),[จ่าย] จ่าย 600 อีแปะเพื่อข้ามแม่น้ำ (กลุ่มของท่านมี 3 คน)
M1700-1_options4,[Pay] Pay 800 Wen to cross the river. (4 people in your party),[จ่าย] จ่าย 800 อีแปะเพื่อข้ามแม่น้ำ (กลุ่มของท่านมี 4 คน)
M1700-1_options5,[Pay] Pay 1 Guan to cross the river. (5 people in your party),[จ่าย] จ่าย 1 ตำลึง เพื่อข้ามแม่น้ำ (มีเพื่อน 5 คนในกลุ่ม)
M1700-1_options6,[Pay] Pay 1 Guan and 200 Wen to cross the river. (6 people in your party),[จ่าย] จ่าย 1 ตำลึง 200 อีแปะ เพื่อข้ามแม่น้ำ (กลุ่มของท่านมี 6 คน)
M1700-1_options7,[Run away] Don't cross the river for now.,[วิ่งหนี] ไม่ข้ามแม่น้ำตอนนี้
End001_name,Supreme Dominance,อำนาจสูงสุด
End001_overview,"Eliminate the Confucius Temple, Shifa Temple, Taoist Sect, and Nine Factions Sect.",กวาดล้าง วัดขงจื๊อ อารามฉีฟา สำนักเต๋า และนิกายเก้าฝ่าย
End002_name,Leader of the Martial World,ประมุขยุทธภพ
End002_overview,"Relations with Confucius Temple, Shifa Temple, Taoist Sect, and Nine Factions Sect reach Worship.",ความสัมพันธ์กับ วัดขงจื๊อ อารามฉีฟา สำนักเต๋า และนิกายเก้าฝ่ายถึงระดับ เคารพบูชา
End003_name,Great Hero,จอมยุทธ์ผู้ยิ่งใหญ่
End003_overview,"Benevolence, Righteousness, Propriety, Wisdom, Faith, and Courage reach 100, main character reaches level 50.",ศีลธรรม คุณธรรม มารยาท ภูมิปัญญา ซื่อสัตย์ และกล้าหาญถึง 100 ตัวละครหลักถึงระดับ 50
M2072-1_name,Longquan Sword Test,งานชุมนุมวิจารณ์กระบี่หลงฉวน
M2072-1_overview,Participate in the Longquan Sword Test Tournament at the Sword Test Platform near the Sword Manor.,เข้าร่วมงานชุมนุมวิจารณ์กระบี่หลงฉวนที่งานลานประลองทดสอบกระบี่ของเคหะกระบี่
M2072-2_name,Dragonfly Shakes the Big Tree,แมลงปอเขย่าต้นไม้ใหญ่
M2072-2_overview,Go to the Sword Test Platform to see what the people from Dragonfly City are up to.,ไปที่ลานประลองทดสอบกระบี่เพื่อดูว่าคนจากเมืองแมลงปอต้องการอะไร
1001_name,——,——
1001_overview,——,——
1002_name,Find a way to make money.,หาวิธีหาเงิน
1002_overview,Save up 1000 Wen as soon as possible.,เก็บเงินให้ได้ 1000 อีแปะโดยเร็วที่สุด
1002_1_name,Save money to pay off debts,เก็บเงินเพื่อชำระหนี้
1002_1_overview,Find the <color=#c44b0e>innkeeper</color> to redeem your belongings.,ตามหา<color=#c44b0e>เถ้าแก่</color> เพื่อรับของคืน
1002_1_options01_01,[Pay] Help the innkeeper pay <color=#c44b0e>1000 Wen</color>.,[จ่าย] ช่วยเถ้าแก่จ่ายเงิน <color=#c44b0e>1000 อีแปะ</color>
1002_1_options01_02,[Fight] Drive away this unreasonable guy.,[ต่อสู้] ขับไล่คนไร้เหตุผล
1002_1_options01_03,[Silence] Keep a low profile to stay safe.,[เงียบไว้] ทำตัวสงบเสงี่ยมจะได้ปลอดภัย
1002_2_name,Save money to pay off debts (not displayed),เก็บเงินเพื่อชำระหนี้ (ไม่แสดง)
1002_2_overview,Not enough money to face the innkeeper.,มีเงินไม่พอจะพบหน้าเถ้าแก่
1002_3_name,Escape from the fight (not displayed),หนีจากการต่อสู้ (ไม่แสดง)
1002_3_overview,Being ridiculed by the innkeeper.,ถูกเถ้าแก่เยาะเย้ย
1003_name,Retrieve the jewelry box,รับกล่องอัญมณีคืน
1003_overview,Run away from the inn and catch up with the sleazy middle-aged man,หนีจากโรงเตี๊ยม และไล่ตามชายวัยกลางคนสกปรก
1003-A_name,Retrieve the jewelry box,รับกล่องอัญมณีคืน
1003-A_overview,"Found the sleazy man lingering under a big tree outside the bandit camp, not knowing what he's doing",พบชายสกปรกนอนอยู่ใต้ต้นไม้ใหญ่นอกค่ายโจรไม่รู้ว่ากำลังทำอะไรอยู่
1003-A_options01_01,[Fight] Go and ask for the jewelry box,[ต่อสู้] เข้าไปถามถึงกล่องอัญมณี
1003-A_options01_02,[Silence] Wait and see,[เงียบ] รอดู
1003-B_name,Retrieve the jewelry box,นำกล่องอัญมณีกลับมา
1003-B_overview,"Didn't catch up with the sleazy man, he probably has entered the Blue Wind Camp",ตามชายสกปรกไม่ทัน เขาคงได้เข้าสู่ค่ายวายุครามแล้ว
1003-C_name,Retrieve the jewelry box,นำกล่องอัญมณีกลับมา
1003-C_overview,Return the retrieved jewelry box to the innkeeper,คืนกล่องอัญมณีให้กับเถ้าแก่
1003-D_name,Search for someone in Blue Wind Camp,ตามหาคนผู้หนึ่งในค่ายวายุคราม
1003-D_overview,Enter Blue Wind Camp to find the sleazy man and get back the jewelry box,ไปยังค่ายวายุคราม ตามหาชายสกปรก และนำกล่องอัญมณีกลับมา
1004_name,Show off your martial arts,แสดงวิทยายุทธ
1004_overview,
1004_options01_01,[Fight] Drive away the guys from Blue Wind Camp,[ต่อสู้] ขับไล่คนจากค่ายวายุคราม
1004_options01_02,[Silence] Better not to draw attention,[เงียบไว้] ไม่เป็นจุดสนใจจะดีกว่า
1004-A_name,Prepare for the battle,เตรียมตัวต่อสู้
1004-A_overview,"The people from Blue Wind Camp threatened to trouble Nameless village in a day, need to improve strength as soon as possible",คนจากค่ายวายุครามขู่ว่าจะสร้างปัญหาให้กับหมู่บ้านไร้นามในวันหน้า จำเป็นต้องเพิ่มความแข็งแกร่งโดยเร็วที่สุด
1005_name,"Tong Daofu came to the village, he destroyed the village",ถงเต๋าฟู่ มาที่หมู่บ้าน เขาถล่มหมู่บ้านไปแล้ว
1005_overview,
1006_name,"Tong Daofu came to the village, he didn't destroy the village",ถงเต๋าฟู่ มาที่หมู่บ้าน เขาไม่ได้ทำอะไรกับหมู่บ้านเลย
1006_overview,
1007_name,Ferry to Lin'an,ท่าเรือสู่หลินอัน
1007_overview,
1007_options01_01,[Take the boat] I want to go to Lin'an City,[ขึ้นเรือ] ข้าอยากไปเมืองหลินอัน
1007_options01_02,"[Say goodbye] Wait a minute, I have something else to deal with",[บอกลา] รอสักครู่ ข้ามีบางอย่างต้องไปจัดการ
2001_name,Vacant,ว่างเปล่า
2001_overview,Vacant,ว่างเปล่า
2001_options01_01,Vacant,ว่างเปล่า
2001_options01_02,Vacant,ว่างเปล่า
M1301-1_name,Siege of the Dilapidated Temple,ปิดล้อมศาลเจ้าร้าง
M1301-1_overview,
M1301-1_option（1）_dialog,"The uncle in the village seems to be surrounded by enemies, what should I do?",ลุงในหมู่บ้านดูเหมือนจะถูกศัตรูรายล้อม ข้าควรทำอย่างไร?
M1301-1_option（2）_dialog,"(This is a golden opportunity, what should I ask for?)",(โอกาสทองเช่นนี้ ข้าควรขอสิ่งใดดี?)
M1301-1_option（3）_dialog,I want to choose...,ข้าขอเลือก...
M1301-1_options01_01,Help the down-and-out martial artist <color=#097a76>(Fight to the death)</color>,ช่วยนักศิลปะการต่อสู้ที่หมดหวัง <color=#097a76>(สู้ตาย)</color>
M1301-1_options01_02,"Better to avoid trouble, it's best to leave",ไม่เอาดีกว่า เดี๋ยวเกิดเรื่องขึ้นมาจะเดือดร้อนเปล่าๆ
M1301-1_options02_01,"Help in emergency, sponsor some living expenses",ช่วยเหลือฉุกเฉิน สนับสนุนค่าครองชีพบางส่วน
M1301-1_options02_02,Why don't you teach me some self-defense moves,ทำไมเจ้าไม่สอนท่าป้องกันตัวให้ข้าบ้าง
M1301-1_options02_03,Give me a weapon as a souvenir,มอบอาวุธให้ข้าเป็นของที่ระลึก
M1301-1_options02_04,How can I covet wealth when helping others?,ข้าจะโลภความมั่งคั่งเมื่อช่วยเหลือผู้อื่นได้อย่างไร?
M1301-1_options03_01,Hand-to-hand combat skills,ทักษะการต่อสู้แบบประชิดตัว
M1301-1_options03_02,Swordsmanship,วิชากระบี่
M1301-1_options03_03,Knife dancing skills,ทักษะระบำมีด
M1301-1_options03_04,Spear and stick skills,ทักษะหอกและไม้เท้า
M1301-1_options04_01,A pair of Gloves,ถุงมือคู่หนึ่ง
M1301-1_options04_02,A long sword,กระบี่ยาว
M1301-1_options04_03,A big knife,ดาบใหญ่
M1301-1_options04_04,A stick,ไม้เท้า
M1301-1_options05_01,Re-select,เลือกอีกครั้ง
M1301-1_options05_02,No longer consider,ไม่พิจารณาอีกต่อไป
2003_name,Nameless village is attacked by wild boars,หมู่บ้านไร้นามถูกหมูป่าโจมตี
2004_name,Mysterious iron spearhead Open event,เปิดงานหัวหอกเหล็กลึกลับ
2004_options1_1,Hand over the <color=#c44b0e>Burning blade wine</color>,ส่งมอบ<color=#c44b0e>สุราเผาดาบ</color>
2004_1_name,Mysterious iron spearhead 1,หัวหอกเหล็กลึกลับ1
2004_1_overview,Maybe the <color=#c44b0e>blacksmith</color> knows something,บางที<color=#c44b0e>ช่างตีเหล็ก</color>อาจจะรู้อะไรบางอย่าง
2004_2_name,Mysterious iron spearhead 2,หัวหอกเหล็กลึกลับ2
2004_2_overview,Give the blacksmith a bowl of <color=#c44b0e>Burning blade wine</color>.,มอบ <color=#c44b0e>สุราเผาดาบ</color> ให้กับช่างตีเหล็ก
2005_name,Improve relations with Lost Forest,ปรับปรุงความสัมพันธ์กับป่าสาปสูญ
2005_overview,Giving Lingzhi to the Wild Boar King might have unexpected effects,การให้เห็ดหลินจือแก่ราชาหมูป่าอาจมีผลที่ไม่คาดคิด
2005_options1_3,Think about it again,ลองคิดดูอีกครั้ง
2005_options1_2,Ignore it (<color=#c44b0e>irreversible</color>),ไม่ต้องสนใจมัน (<color=#c44b0e>ไม่สามารถย้อนกลับได้</color>)
2005_options1_1,Hand over the <color=#c44b0e>Lingzhi</color>,ส่งมอบ<color=#c44b0e>เห็ดหลินจือ</color>
2006_name,Improve relations with Wild Wolf Valley,ปรับปรุงความสัมพันธ์กับหุบเขาหมาป่า
2006_overview,Giving 10 pieces of Wild boar meat to Wolf King Xiao Yue might have unexpected effects,การให้เนื้อหมูป่า 10 ชิ้นแก่ราชาหมาป่าเสี่ยวเยว่อาจมีผลที่ไม่คาดคิด
2006_options1_3,Think about it again,คิดดูอีกครั้ง
2006_options1_2,Ignore it (<color=#c44b0e>irreversible</color>),ไม่ต้องสนใจมัน (<color=#c44b0e>ไม่สามารถย้อนกลับได้</color>)
2006_options1_1,Hand over <color=#c44b0e>10 pieces of Wild boar meat</color>,ส่งมอบ <color=#c44b0e>เนื้อหมูป่า 10 ชิ้น</color>
2007_name,
2007_overview,
2007_overview_1,
2008_name,Trouble in Lost Forest,ปัญหาในป่าสาปสูญ
2008_overview,Head to the Lost Forest to deal with the <color=#c44b0e>Wild Boar King·Gang Lie</color> deep in the woods,มุ่งหน้าไปยังป่าสาบสูญเพื่อจัดการกับ <color=#c44b0e>ราชาหมูป่า กังเลี่ย</color> ที่อยู่ลึกเข้าไปในป่า
2008_overview_1,Return to the village and tell <color=#c44b0e>Village Head</color> that Gang Lie has been dealt with,กลับไปที่หมู่บ้านแล้วบอก <color=#c44b0e>หัวหน้าหมู่บ้าน</color> ว่า กังเลี่ย ถูกจัดการแล้ว
2008_detail,——,——
2009_name,Rescue Liu Xiao Bao,ช่วยเหลือหลิวเสี่ยวเป่า
2009_overview,Go to Blue Wind Camp to rescue Liu Xiao Bao,ไปที่ค่ายลมสีน้ำเงินเพื่อช่วยเหลือหลิวเสี่ยวเป่า
2010_name,Sell Wild boar meat,ขายเนื้อหมูป่า
2010_overview,
2010_options01_01,Choose to sell for money,เลือกขายเพื่อเงิน
2010_options01_02,Choose not to take money,เลือกที่จะไม่รับเงิน
2010_options01_03,[Run away] Don't want to sell!,[หนี] ไม่อยากขาย!
2011_name,News about Lingzhi,ข่าวเกี่ยวกับเห็ดหลินจือ
2011_overview,Heard there's a Lingzhi under a special big tree in Lost Forest,ได้ยินมาว่ามีเห็ดหลินจืออยู่ใต้ต้นไม้ใหญ่พิเศษในป่าสาปสูญ
2012_name,Village Head's Secret chamber,ห้องลับของหัวหน้าหมู่บ้าน
2012_overview,"There's a Secret chamber in the Village head's house - Bedroom, use the Dragon key to open the Chest in the Secret chamber",มีห้องลับอยู่ในบ้านของหัวหน้าหมู่บ้าน ห้องนอน ใช้กุญแจมังกรเพื่อเปิดหีบในห้องลับ
2013_name,Wolf King of the Wild Wolf Valley,ราชาหมาป่าแห่งหุบเขาหมาป่า
2013_options1,Give the hunter the <color=#c44b0e>Wolf king fang</color>,มอบ <color=#c44b0e>เขี้ยวราชาหมาป่า</color> ให้กับนักล่า
2013_options2,Don't give,อย่าให้
2014_name,Xiao Bao's Wooden sword,กระบี่ไม้ของเสี่ยวเป่า
2014_overview_1,"Xiao Bao admires you a lot, go have a chat with Xiao Bao",เสี่ยวเป่าชื่นชมคุณมาก ไปคุยกับเสี่ยวเป่าสิ
2014_overview_2,Go see the Woodcutter and see if there's a solution,ไปพบคนตัดฟืนและดูว่ามีวิธีแก้ปัญหาหรือไม่
2014_overview_3,Find a piece of <color=#c44b0e>firewood</color> and give it to the Woodcutter,ค้นหา<color=#c44b0e>ฟืน</color>ชิ้นหนึ่งแล้วมอบให้คนตัดไม้
2014_overview_4,Find the Woodcutter again later,ค้นหาคนตัดไม้อีกครั้งในภายหลัง
2014_overview_5,Give the <color=#c44b0e>Wooden sword</color> to Xiao Bao,มอบ<color=#c44b0e>กระบี่ไม้</color>ให้กับเสี่ยวเป่า
2015_name,Blacksmith's request,คำขอจากช่างตีเหล็ก
2015_overview_1,Have a chat with the blacksmith,พูดคุยกับช่างตีเหล็ก
