﻿Talking_default,Talk,พูดคุย
M20321-2_4option1_3,(Speaking out of turn in this situation will definitely end badly),(ผลที่ตามมาของการพูดไร้สาระในสถานการณ์เช่นนี้จะเลวร้ายลงอย่างแน่นอน)
M20321-2_4option2_dialog,"(I've been watching the show for so long, isn't it time for me, the protagonist, to make my presence felt?)",(ข้าดูละครมานานแล้ว ถึงเวลาที่ข้าพระเอกจะแสดงตัวตนแล้วไม่ใช่เหรอ?)
M20321-2_4option2_1,(Stir up the crowd's emotions and fight together)<color=#097a76>(Persuade·4 level)</color>,(ปลุกปั่นอารมณ์ของทุกคนและต่อสู้ไปด้วยกัน)<color=#097a76>(โน้มน้าว ระดับ 4)</color>
M20321-2_4option2_2,I'll take on the skills of Dragonfly City alone!<color=#097a76>(Main character duels)</color>,ข้ามาที่นี่เพื่อเรียนรู้ทักษะของเมืองแมลงปอเพียงลำพัง!<color=#097a76>(การต่อสู้ของตัวละครหลัก)</color>
M20321-2_4option2_3,"There's no need for all the sects to take action, we'll deal with you!<color=#097a76>(Contest)</color>",ไม่จำเป็นต้องให้ทุกนิกายดำเนินการ เราจะจัดการกับเจ้า!<color=#097a76>(การประกวด)</color>
M20321-2_4option2_4,Being an audience is also good.,เป็นผู้ชมบ้างก็ดีเช่นกัน
M20300-61_name,Helping others is the source of happiness,การช่วยเหลือผู้อื่นเป็นรากฐานของความสุข
M20300-61_talk,Visit,เยี่ยม
M20300-61_overview1,Come back at the same time the next day to treat the injured man's leg.,วันรุ่งขึ้นกลับมารักษาชายที่ได้รับบาดเจ็บที่ขาอีกครั้ง
M20300-61_overview2,Find a way to get Healing medicine to heal the injured man's leg.,หาวิธีการรับยารักษาเพื่อรักษาขาของชายผู้บาดเจ็บ
M20300-61_overview3,"Met the man with the injured leg, temporarily refuse to heal.",ข้าเห็นชายคนหนึ่งมีอาการบาดเจ็บที่ขาและปฏิเสธการรักษา
M20300-61_npcname,A weak middle-aged man,ชายวัยกลางคนที่อ่อนแอ
M20300-61_option1_4_dialog,"I've been stabbed and can't move, can you help me find some medicine?",ข้าถูกแทงขยับไม่ได้ เจ้าช่วยหายารักษาให้หน่อยได้ไหม?
M20300-61_option1_1,I have some knowledge in medical skills and can heal you. <color=#097a76>(Medical level 30)</color>,ข้ามีความรู้ด้านการแพทย์อยู่บ้าง ข้าสามารถรักษาท่านได้ <color=#097a76>(ระดับการแพทย์ 30)</color>
M20300-61_option1_2,I have a bottle of medicine that can heal you. <color=#097a76>(1 bottle of Healing medicine)</color>,ข้ามียารักษาที่สามารถรักษาท่านได้ <color=#097a76>(ยารักษา 1 )</color>
M20300-61_option1_3,How can I save you?,ข้าจะช่วยเจ้าได้อย่างไร?
M20300-61_option1_4,"I'm sorry, I can't help you. Goodbye~",ขออภัย ข้าคงช่วยเจ้าไม่ได้ ขอลาก่อน~
M20300-61_option2_4_dialog,"Young man, are you here to heal me?",น้องชาย เจ้ามาที่นี่เพื่อรักษาข้าใช่ไหม?
M20300-61_option2_1,I'll continue to heal you with my medical skills. <color=#097a76>(Medical level 30)</color>,ข้าจะรักษาท่านต่อไปด้วยทักษะทางการแพทย์ของข้า <color=#097a76>(ระดับการแพทย์ 30)</color>
M20300-61_option2_2,I brought Healing medicine to apply on you. <color=#097a76>(1 bottle of Healing medicine)</color>,ข้านำยารักษามาให้ท่าน <color=#097a76>(ยารักษา 1)</color>
M20300-61_option2_3,I'm here to arrest you! <color=#c44b0e>(Solo fight by the protagonist)</color>,ข้ามาที่นี่เพื่อจับกุมคุณ! <color=#c44b0e>(การต่อสู้เดี่ยวโดยตัวเอก)</color>
M20300-61_option2_4,"Hang in there, I'm not ready yet.",รอก่อน ข้ายังไม่พร้อม
M20300-61_option3_1,Agree to join Shi Chen's team,ตกลงที่จะเข้าร่วมทีมของซื่อเฉิน
M20300-61_option3_2,Reject Shi Chen's proposal,ปฏิเสธข้อเสนอของซื่อเฉิน
M1100-20_name,The rage of the rooster,ความโกรธของไก่ตัวผู้
M1100-20_overview,Subdue the angry rooster.,ปราบไก่ตัวผู้
M20300-4_name,Bounty,เงินรางวัล
M20300-4_overview,Arrest the fugitive,จับกุมผู้หลบหนี
M20300-4_1_2_overview,Have you seen a man with a <color=#c44b0e>knife wound on his leg</color>?,เจ้าเคยเห็นผู้ชายที่มี <color=#c44b0e>แผลถูกมีดที่ขาหรือไม่</color>?
M20300-4option1_1,Met a man with a leg injury in the north of Lin'an City.,พบชายคนหนึ่งที่มีอาการบาดเจ็บที่ขาทางตอนเหนือของเมืองหลินอัน
M20300-4option1_2,I'll take you to find this person.,ข้าจะพาท่านไปหาคนนี้เอง
M20300-4option1_3,Can you provide more details?,ท่านสามารถให้รายละเอียดเพิ่มเติมได้หรือไม่?
M20300-4option1_4,"I haven't seen him, goodbye.",ข้าไม่เห็นเลย ขออภัย
M20306-1_name,Enemies meet,ศัตรูมาพบกัน
M20306-2_name,It's better to resolve enmities than to keep them,แก้ศัตรูได้ดีกว่ารักษาไว้
M20319-1_name,Maiden House puzzle,ปริศนาตำหนักพิสุทธิ์
M20319-1_overview1,"Crack the Maiden House puzzle: <color=#c44b0e>Monk with a painting, piano in Chu Pavilion, chess game hidden treasure, grass covering the gate</color>","ไขปริศนาตำหนักพิสุทธิ์: <color=#c44b0e>พระกับภาพวาด, พิณในตำหนัก, หมากรุกที่ซ่อนอยู่ร้านศาลาปราณีต, ลายมือในศาลาว่าการ</color>"
M20319-1_overview2,Ask the host how to meet the courtesan.,ถามเจ้าของว่าจะพบกับนางโลมได้อย่างไร
M20319-1option1_1,"Here is ten guan, please give me a riddle, host. <color=#097a76>(10000 wen)</color>",นี่เงิน 10 ตำลึง โปรดช่วยข้าไขปริศนาด้วยเถอะท่านเจ้าบ้าน <color=#097a76>(10000 อีแปะ)</color>
M20319-1option1_2,"I admire the lady's talent, can you give me a discount? <color=#097a76>(Persuade level Expert, 5000 wen)</color>","ข้าชื่นชมความสามารถของท่าน ท่านให้ส่วนลดข้าได้ไหม? <color=#097a76>(ชักชวนระดับผู้เชี่ยวชาญ 5,000 อีแปะ)</color>"
M20319-1option1_3,"Considering our relations, can you give me a discount? <color=#097a76>(Relations level 60, 5000 wen)</color>","ถ้าพูดถึงความสัมพันธ์ของเรา เจ้าให้ส่วนลดข้าได้ไหม?  <color=#097a76>(ความสัมพันธ์ ระดับ 60, 5000 อีแปะ)</color>"
M20319-1option1_4,I'm just here to watch,ข้าแค่มาเพื่อดู
M20319-1_1_2_overview,"Young man, are you here to solve the riddle? Please pay a deposit of 10 guan first.",จอมยุทธ์น้อย ท่านมาที่นี่เพื่อแก้ไขปริศนาใช่หรือไม่? กรุณาจ่ายเงินมัดจำ 10 ตำลึง ก่อน
M20328-1_name,Maiden House upstairs,ชั้นบนตำหนักพิสุทธิ์
M20300-51_option1_dialog,"(This guy's acting is really bad, he obviously wants to scam me, how should I respond?)",(การแสดงของผู้ชายคนนี้แย่มากจริง ๆ เห็นได้ชัดว่าเขาพยายามหลอกลวงข้า ข้าจะตอบกลับอย่างไร?)
M20300-51_option1_1,"I'm really sorry, here's 200 wen as an apology. <color=#097a76>(200 wen)</color>",ข้าขอโทษจริงๆ นี่คือเงิน 200 อีแปะ เพื่อเป็นการขอโทษ.  <color=#097a76>(200 อีแปะ)</color>
M20300-51_option1_2,"I don't have money, but if you want a fight, I can accompany you. <color=#097a76>(Main character fights alone)</color>",ข้าไม่มีเงิน แต่ถ้าเจ้าอยากจะต่อยตี ก็จัดมา <color=#097a76>(ตัวละครหลักต่อสู้คนเดียว)</color>
M20300-51_option1_3,Trying to scam a group of us is really unwise. <color=#097a76>(Start a fight directly)</color>,มันไม่ฉลาดเลยที่จะหลอกลวงพวกของเรา.  <color=#097a76>(เริ่มการต่อสู้โดยตรง)</color>
M20300-52_option1_dialog,"(Listening to this Taoist priest speaking so seriously, but his appearance really makes me uneasy, how should I respond?)",ฟังนักบวชลักธิเต่าท่านนี้พูดอย่างจริงจังมาก แต่รูปลักษณ์ของเขา ทำให้ข้ารู้สึกไม่สบายใจจริงๆ ข้าควรจะทำยังไง?
M20300-52_option1_1,Offer 5 guan money to RequestCrack method. <color=#097a76>(5000 Wen)</color>,เสนอเงิน 5 ตำลึง เพื่อขอวิธีแก้เคล็ด <color=#097a76>(5000 อีแปะ)</color>
M20300-52_option1_2,"I don't have much money, I really want to but I can't.",ข้าไม่ได้มีเงินมาก ข้าก็อยากทำจริงๆ แต่ข้าทำไม่ได้
M20300-52_option1_3,"I'm tough, I don't need the Crack method.",ข้าเก่งอยู่ ไม่ต้องการวิธีแก้เคล็ดหรอก
M20300-53_1_option1_dialog,"(Beggars have often been extraordinary individuals since ancient times, but I can't figure out the background of the one in front of me, how should I respond?)","(ตั้งแต่สมัยโบราณ, ขอทานมักจะเป็นบุคคลที่ไม่ธรรมดา ข้าไม่สามารถรู้ภูมิหลังของชายที่อยู่ตรงหน้าข้า ข้าจะตอบสนองอย่างไรดี?)"
M20300-53_1_option1_1,(Take out 10 taels of money to BuyManual)<color=#097a76>(10000 wen)</color>,(นำเงิน 10 ตำลึงออกมาเพื่อซื้อคัมภีร์) <color=#097a76>(10000 อีแปะ)</color>
M20300-53_1_option1_2,"I don't have much money, I really want to but I can't.",ข้าไม่ได้มีเงินมาก ข้าก็อยากทำจริงๆ แต่ข้าทำไม่ได้
M20300-53_1_option1_3,"I'll leave the opportunity to others, I'm not interested.",ข้าจะทิ้งโอกาสให้คนอื่นข้าไม่สนใจ
M20300-53_1_option2_dialog,"(Is this beggar desperate for talent or just trying to squeeze my money bag dry, how should I respond?)","(ขอทานคนนี้สิ้นหวังไร้ความสามารถหรือแค่พยายามรีดเงินของข้าจนหมด, ข้าควรตอบโต้อย่างไรดี)"
M20300-53_1_option2_1,(Take out 1 tael of money to BuyManual)<color=#097a76>(1000 wen)</color>,(นำเงิน 1 ตำลึงออกมาเพื่อซื้อคัมภีร์) <color=#097a76>(1000 อีแปะ)</color>
M20300-53_1_option2_2,"I don't have much money, I really want to but I can't.",ข้าไม่ได้มีเงินมาก ข้าก็อยากทำจริงๆ แต่ข้าทำไม่ได้
M20300-53_1_option2_3,(Pierce the beggar's sincere gaze and Run away on my own),(ไม่สนใจสายตาจริงใจของขอทาน และเดินจากไป)
M20300-53_1_option3_dialog,"(Who would willingly lower their standards if not forced by life, should I help him out?)",(ใครจะอยากให้ชีวิตตัวเองตกต่ำลง ถ้าไม่ถูกบังคับด้วยชีวิต ข้าควรช่วยเขาไหม?)
M20300-53_1_option3_1,(Give the beggar 50 wen)<color=#097a76>(50 wen)</color>,(ให้เงินแก่ขอทาน 50 อีแปะ)<color=#097a76>(50 อีแปะ)</color>
M20300-53_1_option3_2,(Give the beggar 500 wen)<color=#097a76>(500 wen)</color>,(ให้เงินแก่ขอทาน 500 อีแปะ)<color=#097a76>(500 อีแปะ)</color>
M20300-53_1_option3_3,(Pierce the beggar's request and Run away on my own),(ไม่สนใจคำขอของขอทาน และเดินจากไป)
M20300-54_1_option1_dialog,"(This guy looks like a wealthy person, but I'm not sure if his get-rich-quick opportunity is trustworthy, how should I respond?)",(คนๆนี้ดูแล้วมีฐานะ แต่ก็ไม่แน่ใจว่าโอกาสได้เงินง่ายๆเช่นนี้จะเชื่อถือได้มั้ย ควรทำยังไงดี)
M20300-54_1_option1_1,(Take out 100 wen to give to the merchant)<color=#097a76>(100 wen)</color>,(นำเงิน 100 อีแปะให้แก่พ่อค้า) <color=#097a76>(100 อีแปะ)</color>
M20300-54_1_option1_2,(Take out 10 taels of money to give to the merchant)<color=#097a76>(10000 wen)</color>,(นำเงิน 10 ตำลึงให้แก่พ่อค้า) <color=#097a76>(10000 อีแปะ)</color>
M20300-54_1_option1_3,"I don't have much money, I really want to but I can't.",ข้าไม่ได้มีเงินมาก ข้าก็อยากทำจริงๆ แต่ข้าทำไม่ได้
M20300-54_1_option1_4,I'm not interested in making money.,ข้าไม่มีความสนใจในการทำเงิน
M20300-54_2_option2_dialog,"(I feel like I've been deceived by this guy, but he makes some sense, should I just let him go?)",(รู้สึกเหมือนจะถูกหลอกเลย แต่ที่พูดมาก็ดูสมเหตุสมผลนะ ควรปล่อยไปมั้ย)
M20300-54_1_option2_1,You're going to spit out every penny of my money!<color=#097a76>(Specific battle)</color>,เอาเงินข้าคืนมาให้หมดซะ! <color=#097a76>(เข้าสู่การต่อสู้)</color>
M20300-54_1_option2_2,"I'll take the loss on this money, I need to be more careful next time.",ข้าจะยอมขาดทุนเองก็ได้ คราวหน้าต้องระวังมากกว่านี้
M20321-1_option1_1,"I have an invitation, of course I can come in!<color=#097a76>(Duke Chai's invitation card)</color>",ข้ามีเทียบเชิญ ข้าสามารถเข้าไปได้หรือยัง! <color=#097a76>(เทียบเชิญของอ๋องไฉ)</color>
M20321-1_option1_2,Someone asked me to give this to you.<color=#097a76>(Rumor token)</color>,มีคนขอให้ข้ามอบสิ่งนี้ให้กับเจ้า<color=#097a76>(สัญลักษณ์ข่าวลือ)</color>
M20321-1_option1_3,Someone poisoned the wine at the birthday banquet.,มีคนวางยาพิษในสุราของงานเลี้ยงวันเกิด
M20321-1_option1_4,"Just passing by, sorry to disturb.",แค่ผ่านมาเฉยๆ ขอโทษที่รบกวน
M20321-1_option2_dialog,Would you like to join the Rumor Platform?,เจ้าอยากเข้าร่วมกับ ลานลือเรื่อง หรือไม่
M20321-1_option2_1,"I, {PlayerName}, am willing to join the Rumor Platform!",ข้า {PlayerName} ต้องการเข้า ลานลือเรื่อง!
M20321-1_option2_2,"I'm not interested, excuse me!",ข้าไม่สนใจ ขอโทษนะ!
M20321-3_option1_1,"I have an invitation, of course I can come in!<color=#097a76>(Duke Chai's invitation card)</color>",ข้ามีเทียบเชิญ ข้าสามารถเข้าไปได้หรือยัง! <color=#097a76>(เทียบเชิญของอ๋องไฉ)</color>
M20321-3_option1_2,Someone asked me to give this to you.<color=#097a76>(Rumor token)</color>,มีคนขอให้ข้ามอบสิ่งนี้ให้กับเจ้า<color=#097a76>(สัญลักษณ์ข่าวลือ)</color>
M20321-3_option1_3,Someone poisoned the wine at the birthday banquet.,มีคนวางยาพิษในสุราของงานเลี้ยงวันเกิด
M20321-3_option1_4,"Just passing by, sorry to disturb.",แค่ผ่านมาเฉยๆ ขอโทษที่รบกวน
M20321-3_option2_dialog,Would you like to join the Rumor Platform?,เจ้าอยากเข้าร่วมกับ ลานลือเรื่อง หรือไม่
M20321-3_option2_1,"I, {PlayerName}, am willing to join the Rumor Platform!",ข้า {PlayerName} ต้องการเข้า ลานลือเรื่อง!
M20321-3_option2_2,"I'm not interested, excuse me!",ข้าไม่สนใจ ขอโทษนะ!
M20316-1_option1_dialog,Do you know what kind of wine vessel can enhance the color of light-colored wine?,เจ้ารู้ไหมว่าถังสุราแบบไหน ที่สามารถเพิ่มสีของสุราจางๆให้เข้มได้
M20316-1_option1_1,Gold cup,ถ้วยทองคำ
M20316-1_option1_2,Luminous cup,จอกเจิดจรัส
M20316-1_option1_3,Porcelain cup,ถ้วยลายคราม
M20316-1_option1_4,Jade cup,ถ้วยหยก
M20316-2_option1_1,What are the top sects in the martial arts world?,สำนักชั้นนำของยุทธภพอะไรกัน?
M20316-2_option1_2,"I have important things to do, I'll listen to your high theory another day.",ข้ามีเรื่องสําคัญที่ต้องทํา ไว้ภายภาคหน้าข้าจะฟังทฤษฎีขั้นสูงของเจ้า
M20316-2_option2_1,Help Cai Youzhi.<color=#097a76>(Specific battle)</color>,ช่วยไช่โหยวจื่อ <color=#097a76>(เข้าสู่การต่อสู้)</color>
M20316-2_option2_2,Help Shuo Shuren.<color=#097a76>(Specific battle)</color>,ช่วย โช่วชูเหริน <color=#097a76>(เข้าร่วมการต่อสู้)</color>
M20300-22_option1_dialog,"Huh? That guy is sneaky, doesn't look like he's up to any good.\nShould I go check it out?","หือ ยายแก่ดูลับๆล่อๆนะ คงไม่มีเจตนาที่ดีแน่\nควรไปดูหน่อยดีมั้ย"
M20300-22_option1_1,(Stop this suspicious person as soon as possible)<color=#097a76>(Specific Battle)</color>,(หยุดยั้งบุคคลต้องสงสัยรายนี้ให้เร็วที่สุด)<color=#097a76>(เข้าสู่การต่อสู้)</color>
M20300-22_option1_2,"Safety first, better not to stir up trouble.","ความปลอดภัยต้องมาก่อน, อย่าสร้างปัญหาดีกว่า"
R10048-1_npcname1,A man in strange clothes,ชายในชุดประหลาด
R10048-1_option1_1,The one who should really get out is you!<color=#097a76>(Main character's solo fight)</color>,คนที่ต้องออกไปมันเจ้าต่างหาก! <color=#097a76>(ตัวเอกสู้คนเดียว)</color>
R10048-1_option1_2,This arrogant guy really pisses me off! <color=#097a76>(Specific Battle)</color>,ไอเจ้าคนโอหังนี้ช่างทำให้ข้าหงุดหงิดนัก! <color=#097a76>(เข้าสู่การต่อสู้)</color>
R10048-1_option1_3,"Forget it, if you can't beat them, avoid them.",ช่างมันเถอะ ถ้าสู้ไม่ได้ ก็เลี่ยงๆดีกว่า
M20307-1_option1_dialog,"This guy is too arrogant, he doesn't seem easy to deal with. But, should we just let him run away easily?",หมอนี่โอหังเกินไแล้ว แถมยังดูจัดการไม่ได้ง่ายๆด้วย แต่เราควรปล่อยให้มันหนีไปง่ายๆเหรอ
M20307-1_option1_1,(Challenge Hattori Hyoe)<color=#097a76>(Solo Fight)</color>,(ประลองกับ ฮาโตริ เฮียวเอะ) <color=#097a76>(ต่อสู้คนเดียว)</color>
M20307-1_option1_2,(Let him run away due to lack of strength),(ปล่อยให้หนีไปเพราะไม่มีแรงเหลือ)
M20311-2_talk,Become a disciple,เข้าเป็นศิษย์
M20311-2_option1_1,Join Shifa Temple<color=#097a76>(Benevolence)</color>,เข้าอารามฉีฟา <color=#097a76>(ศีลธรรม)</color>
M20311-2_option1_2,Donate to Shifa Temple<color=#097a76>(Money)</color>,บริจาคให้อารามฉีฟา <color=#097a76>(เงิน)</color>
M20311-2_option1_3,"Nothing, just saying hello.",ไม่มีอะไร ข้าแค่มาทักทาย
M20311-2_option2_dialog,"If you are ready, follow me back to Shifa Temple.",ถ้าพร้อมแล้ว ตามข้ากลับอารามฉีฟา
M20311-2_option2_1,"I'm ready, let's go now.",ข้าพร้อมแล้ว ไปกันเถอะ
M20311-2_option2_2,"I'm not ready, I have things to deal with.",ข้ายังไม่พร้อม ข้ายังมีเรื่องต้องจัดการ
M20311-2_option3_dialog,Are you ready to join our Shifa Temple?,เจ้าพร้อมที่จะเข้าร่วม วัดชิฟา ของเราแล้วหรือยัง?
M20311-2_option3_1,"I'm ready, let's go now.",ข้าพร้อมแล้ว ไปกันเถอะ
M20311-2_option3_2,"I'm not ready, I have things to deal with.",ข้ายังไม่พร้อม ข้ายังมีเรื่องต้องจัดการ
M20304-1_npcname1,Acting Prefect,รักษาการนายอำเภอ
M20304-1_option1_1,Rotten Food.,อาหารที่่เน่าเสีย
M20304-1_option1_2,Ordinary Meal.,อาหารธรรมดา
M20304-1_option1_3,Delicious food.,อาหารอร่อย
M20304-1_option1_4,Delicious dishes.,อาหารจานโปรด
M20304-1_option2_1,"Trust you once, I'll give you all my money.<color=#097a76>(All Money)</color>",ข้าจะเชื่อเจ้าสักครั้ง จะให้เงินทั้งหมดแก่เจ้า <color=#097a76>(เงินทั้งหมด)</color>
M20304-1_option2_2,"One person does, one person is responsible, no need for others to take the blame for me.",ทำคนเดียว รับผิดชอบคนเดียว ไม่ต้องให้คนอื่นมารับผิดชอบแทนข้า
M20302_talking,Stay in the inn,พักแรมที่โรงเตี๊ยม
M20302option_1,Stay in the inn. <color=#097a76>(200 coins)</color>,พักผ่อนในโรงเตี้ยม. <color=#097a76>(200 อีแปะ)</color>
M20302option_2,Think about it.,ลองคิดดูสิ
M20302option_3,Rest well.,ข้านอนเต็มอิ่มแล้ว
M20302option_4,Insist on staying.,ยืนกรานที่จะอยู่
M20302option_5,Stay in the inn again. <color=#097a76>(200 coins)</color>,พักผ่อนในโรงเตี้ยมอีกครั้ง. <color=#097a76>(200 coins)</color>
S1000-21_1_option1_1,"This game is so fun, I want to keep playing!",เกมนี้สนุกมากจนข้าอยากจะเล่นต่อไป!
S1000-21_1_option1_2,Such a crappy game doesn't deserve me to play!,เกมเส็งเคร็งเช่นนี้ไม่คู่ควร ให้ข้าเล่น!
M20332-1_option1_1,Of course interested.,แน่นอนข้าสนใจ
M20332-1_option1_2,Not interested at all.,ข้าไม่สนใจเลย
M20332-1_option2_dialog,Which of the above options do you plan to choose?,ตัวเลือกใดที่เจ้าต้องการเลือกข้างต้น?
M20332-1_option2_1,Watch the new feature development screen.,รับชมหน้าจอการพัฒนาฟีเจอร์ใหม่ๆ
M20332-1_option2_2,Trial version power gift pack.,ชุดของขวัญพลัง เวอร์ชันทดลอง
battle_test_story_option1_1,Enter Battle 1,เข้าสู่การต่อสู้ 1
battle_test_story_option1_2,Enter Battle 2,เข้าสู่การต่อสู้ 2
battle_test_story_option1_3,Run away (can be triggered repeatedly),หนี(สามารถเรียกใช้ซ้ำได้)
M1100-21_name,Go to Lin'an City to broaden your horizons.,ไปที่เมืองหลินอันเพื่อขยายขอบเขตอันไกลโพ้นของคุณ
M1100-21_overview_1,Attend Chai Wangye's birthday banquet on the 10th day of Jianghu.,เข้าร่วมงานเฉลิมฉลองวันเกิดของอ๋องไฉ ในวันที่ 10 ของยุทธภพ
M1100-23_name,Explore Time,เวลาสำรวจ
M1100-23_overview,"The main content of the trial version comes to an end, exploring around may discover new content.",เนื้อหาหลักของเวอร์ชันทดลองสิ้นสุดลง สามารถสํารวจรอบพบกับเนื้อหาใหม่ได้
M1200-1_npcname,Official,เจ้าหน้าที่
