﻿TraitInlo_Kungfu,Initial external power {0},พลังงานภายนอกเริ่มต้น {0}
TraitInlo_Item,Carrying {0},บรรทุก {0}
TraitInlo_Spliter,，,，
TraitInlo_ItemSpliter,、,、
TraitInlo_ItemSpliterLast,And,และ
TraitInlo_End,。,。
TraitDesc_书香门第1,"Born into a scholarly family, you love to compose poetry, and your free and easy style is reflected in the vast landscape.",เจ้าเกิดในครอบครัวนักปราชญ์ เจ้าชอบแต่งบทกวี และสไตล์ที่อิสระและเรียบง่ายของเจ้าสะท้อนให้เห็นในภูมิประเทศอันกว้างใหญ่
TraitDesc_书香门第2,"Born into a scholarly family, you are skilled in calligraphy, and your ambition is evident in every stroke of your brush.",เจ้าเกิดในครอบครัวนักปราชญ์ เจ้ามีทักษะในการประดิษฐ์ตัวอักษร และความทะเยอทะยานของเจ้าจะปรากฏชัดในทุกฝีแปรงของเจ้า
TraitDesc_书香门第3,"Born in a scholarly family, you have a preference for string and wind instruments. Your fingertips dance, captivating the hearts of others.",เจ้าเกิดในครอบครัวนักปราชญ์ เจ้าชอบเครื่องสายและเครื่องเป่ามาก ปลายนิ้วของเจ้าพริ้วไหว ดึงดูดใจผู้คน
TraitDesc_落魄乐师1,"You were once a musician untouched by worldly affairs, but now you have fallen from grace. All that accompanies you is a Parasol Tree and your lofty aspirations.",ครั้งหนึ่งเจ้าเคยเป็นนักดนตรีที่ไม่ถูกยุ่งเกี่ยวเรื่องทางโลก แต่ตอนนี้เจ้าได้หลุดพ้นจากพระเจ้าแล้ว สิ่งที่มาพร้อมกับเจ้าคือพิณไม้ร่มและแรงบันดาลใจอันสูงส่งของเจ้า
TraitDesc_落魄乐师2,"You were once a musician untouched by worldly affairs, but now your family has fallen on hard times. Only the wooden flute still accompanies you as you travel the world.",ครั้งหนึ่งเจ้าเคยเป็นนักดนตรีที่ไม่ถูกยุ่งเกี่ยวเรื่องทางโลก แต่ตอนนี้ครอบครัวของเจ้าตกอยู่ภายใต้ความยากลำบาก มีเพียงขลุ่ยไม้เท่านั้นที่ยังคงอยู่เคียงข้างเจ้าในขณะที่เจ้าเดินทางไปทั่วโลก
TraitDesc_落魄乐师3,"You were once a musician untouched by worldly affairs, but now you have become a lone goose. You hold your Lute tightly, still wanting to spread your music throughout the world.","ครั้งหนึ่งเจ้าเคยเป็นนักดนตรีที่ไม่ถูกยุ่งเกี่ยวเรื่องทางโลก แต่ตอนนี้เจ้ากลายเป็นห่านตัวเดียว เจ้าจับผีผาไว้แน่น, แต่ยังคงต้องการเผยแพร่เพลงของเจ้าออกไปไปทั่วโลก"
TraitDesc_武学世家1,"You come from a Martial Arts family, and your Earth Blade skills are already quite impressive! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และวิชาดาบพสุธาค่อนข้างน่าประทับใจอยู่แล้ว! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง 
TraitDesc_武学世家2,"You come from a Martial Arts family, and the family's Dragon Roaming Sword is unpredictable! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และกระบี่มังกรร่ายรำของตระกูลก็พลิกแพลงคาดเดาได้ยาก! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง
TraitDesc_武学世家3,"You come from a Martial Arts family, and your Carefree Fist is elegant and transcendent! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และหมัดไร้โศกของเจ้าก็มีความสง่างามและทรงพลัง! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง
TraitDesc_武学世家4,"You come from a Martial Arts family, and the family's Dragon Staff is powerful! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และพลองมังกรของตระกูลก็ทรงพลัง! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง
TraitDesc_武学世家5,"You come from a Martial Arts family, and your Wind Stab is chilling! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และแทงวายุกระโชกของเจ้าก็น่าหวาดกลัว! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง
TraitDesc_武学世家6,"You come from a Martial Arts family, and you are skilled in the Six Forms Spear! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และหอกหกประสานของเจ้าก็เชี่ยวชาญ! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง
TraitDesc_拳法宗师,"You have mastered the art of boxing, and can be called a grandmaster. Your Mountain Clear Palm has the power of ten thousand pounds, capable of breaking mountains and rocks, and is invincible.",เจ้าเชี่ยวชาญศิลปะแห่งหมัดมวยและสามารถเรียกได้ว่าเป็นปรมาจารย์ ฝ่ามือทลายภูผาของเจ้านั้นมีพลังนับหมื่นปอนด์ สามารถทำลายภูเขาและหินได้อย่างไร้เทียมทาน
TraitDesc_剑法宗师,"You have mastered the art of swordsmanship, and can be called a grandmaster. Your Flirting Star Sword is undefeated, and there are few opponents where your Dawn sword goes.",เจ้าเชี่ยวชาญศิลปะแห่งกระบี่และสามารถเรียกได้ว่าเป็นปรมาจารย์ กระบี่หยอกดาราของเจ้านั้นไร้พ่าย และมีเพียงคู่ต่อสู้ไม่กี่คนที่รอดจากกระบี่ฟ้าบันดาลของเจ้าไป
TraitDesc_刀法宗师,"You have mastered the art of knife, and can be called a grandmaster. Your Thunder Blade is like a thunderbolt, shaking the earth and sky, and is extremely domineering.",เจ้าเชี่ยวชาญศิลปะแห่งดาบและสามารถเรียกได้ว่าเป็นปรมาจารย์ ดาบอัสนีของเจ้านั้นเปรียบเหมือนสายฟ้าอัสนีบาตที่สั่นสะเทือนทั้งโลกและท้องฟ้าและทรงพลังอย่างมาก
TraitDesc_棍法宗师,"You have mastered the art of stick, and can be called a grandmaster. Your Origin Staff is like the Great Sage reborn, stirring up the world and alarming the four seas.",เจ้าเชี่ยวชาญศิลปะแห่งไม้พลองและสามารถเรียกได้ว่าเป็นปรมาจารย์ พลองรวมศูนย์ของเจ้านั้นเปรียบเสมือนมหาปราชญ์เกิดใหม่ ปลุกเร้าโลก ปลุกทะเลทั้งสี่ให้ตื่นตระหนก
TraitDesc_枪法宗师,"You have mastered the art of spear, and can be called a grandmaster. Your Power Star Spear has repelled countless masters. With the Emperor Spear in hand, one man can hold the pass against ten thousand.",เจ้าเชี่ยวชาญศิลปะแห่งไม้พลองและสามารถเรียกได้ว่าเป็นปรมาจารย์ หอกจักรพรรดิของเจ้าขับไล่ผู้อาวุโสอาจารย์นับไม่ถ้วน เมื่อมีหอกจักรพรรดิอยู่ในมือ ก็เหมือนชายคนหนึ่งต่อกรกับทัพนับหมื่น
TraitDesc_音律宗师,"You are a world-renowned master of performance, and your Mountain and River tune is popular all over the world. But in the end, the song is too high for the masses, and it is hard to find a confidant.",เจ้าเป็นปรมาจารย์ด้านการแสดงที่มีชื่อเสียงระดับโลก และบทเพลงลำนำเขาสูงธารน้ำไหลของเจ้าก็ได้รับความนิยมไปทั่วโลก แต่สุดท้ายเพลงนี้ก็ดังเกินคนทั่วไป และหาคนสนิทได้ยาก
TraitDesc_短兵宗师,"You are a legend in the world of assassins. Your Silver Snake Mirage is as fast as lightning, unpredictable, and no one can stop you within five steps.",เจ้าคือตำนานในโลกแห่งนักฆ่า วิชาเงาคลื่นอสรพิษเกล็ดเงินของเจ้าเร็วราวกับสายฟ้า คาดเดาไม่ได้ และไม่มีใครหยุดเจ้าได้ภายในห้าก้าว
TraitName_书香门第1,※Scholarly Family※,※ครอบครัวบัณฑิต※
TraitName_书香门第2,※Scholarly Family※,※ครอบครัวบัณฑิต※
TraitName_书香门第3,※Scholarly Family※,※ครอบครัวบัณฑิต※
TraitName_落魄乐师1,※Down-and-out Musician※,※วณิพกพเนจร※
TraitName_落魄乐师2,※Down-and-out Musician※,※วณิพกพเนจร※
TraitName_落魄乐师3,※Down-and-out Musician※,※วณิพกพเนจร※
TraitName_武学世家1,※Martial Arts Family※,※ตระกูลผู้ฝึกยุทธ※
TraitName_武学世家2,※Martial Arts Family※,※ตระกูลผู้ฝึกยุทธ※
TraitName_武学世家3,※Martial Arts Family※,※ตระกูลผู้ฝึกยุทธ※
TraitName_武学世家4,※Martial Arts Family※,※ตระกูลผู้ฝึกยุทธ※
TraitName_武学世家5,※Martial Arts Family※,※ตระกูลผู้ฝึกยุทธ※
TraitName_武学世家6,※Martial Arts Family※,※ตระกูลผู้ฝึกยุทธ※
TraitName_拳法宗师,※Boxing Grandmaster※,※ปรมาจารย์วิชาหมัด※
TraitName_剑法宗师,※Swordsmanship Grandmaster※,※ปรมาจารย์กระบี่※
TraitName_刀法宗师,※Knife Grandmaster※,※ปรมาจารย์ดาบ※
TraitName_棍法宗师,※Stick Grandmaster※,※ปรมาจารย์วิชาไม้เท้า※
TraitName_枪法宗师,※Spear Grandmaster※,※ปรมาจารย์หอก※
TraitName_音律宗师,※Musical Grandmaster※,※ปรมาจารย์ดนตรี※
TraitName_短兵宗师,※Short Grandmaster※,※ปรมาจารย์อาวุธสั้น※
TraitName_暗器入门,
TraitName_毒术入门,
TraitName_短兵入门,
TraitName_拳掌入门,
TraitName_耍刀入门,
TraitName_医术入门,
TraitName_音律入门,
TraitName_御剑入门,
TraitName_长兵入门,
TraitName_福泽深厚,Good fortune,พรแห่งโชค
TraitName_身强体健,Hardened,ทนทาน
TraitName_龙精虎猛,Stalwart,กำยำ
TraitName_聪颖灵巧,Smart,ฉลาด
TraitName_深仁厚泽,
TraitName_慷慨仗义,
TraitName_文质彬彬,
TraitName_才智过人,
TraitName_一诺千金,
TraitName_力拔山河,
TraitName_先天邪气,
TraitName_手脚灵活,Quick reflex,โต้ตอบว่องไว
TraitName_身材矮小,Short stature,ร่างเล็ก
TraitName_暗器精通,Throwing Mastery,เชี่ยวชาญอาวุธลับ
TraitName_毒术精通,Toxicology Mastery,เชี่ยวชาญศาสตร์พิษ
TraitName_短兵精通,Short Mastery,เชี่ยวชาญอาวุธสั้น
TraitName_拳掌精通,Fist Mastery,เชี่ยวชาญหมัดมวย
TraitName_耍刀精通,Blade master,ปรมาจารย์ดาบ
TraitName_医术精通,Medical Mastery,เชี่ยวชาญการแพทย์
TraitName_音律精通,Musical Mastery,เชี่ยวชาญดนตรี
TraitName_御剑精通,Sword master,ปรมาจารย์กระบี่
TraitName_长兵精通,Long Mastery,เชี่ยวชาญอาวุธยาว
TraitName_骨骼清奇,Unique Skeleton,มีเค้าโครงกระดูกที่พิเศษ
TraitName_良才美玉,Talented Beauty,งามพร้อมด้วยปัญญา
TraitName_越战越勇,Battle maniac,คลั่งไคล้การต่อสู้
TraitName_速战速决,
TraitName_得心应手,Upwind,อยู่เหนือลม
TraitName_熟能生巧,Practice makes perfect,ยิ่งฝึกฝนยิ่งเก่ง
TraitName_山林猎手,Wild hunter,พรานป่า
TraitName_误打误撞,Random attack,ตีมั่ว
TraitName_见招拆招,Good blocker,ปัดป้องเก่ง
TraitName_暗器奇才,Throwing talent,พรสวรรค์อาวุธลับ
TraitName_毒术奇才,Toxicology talent,พรสวรรค์ด้านพิษ
TraitName_短兵奇才,Short weapon talent,พรสวรรค์อาวุธสั้น
TraitName_拳掌奇才,Fist talent,พรสวรรค์หมัดมวย
TraitName_耍刀奇才,Blade talent,พรสวรรค์ดาบ
TraitName_医术奇才,Medical talent,พรสวรรค์การแพทย์
TraitName_音律奇才,Musical talent,พรสวรรค์ดนตรี
TraitName_御剑奇才,Sword talent,พรสวรรค์กระบี่
TraitName_长兵奇才,Long weapon talent,พรสวรรค์อาวุธยาว
TraitName_特异毒体,Poisonous body,กายพิษ
TraitName_暗器精研,Throwing master,ปรมาจารย์อาวุธลับ
TraitName_动如雷霆,Mighty as the Thunder,ทรงอำนาจดุจอัสนี
TraitName_雪上加霜,Poison expert,ผู้เชี่ยวชาญพิษ
TraitName_妙手仁心,Medical expert,เชี่ยวชาญการแพทย์
TraitName_身先士卒,Front guard,แนวหน้า
TraitName_身轻如燕,Light body,ตัวเบา
TraitName_目无全牛,Beast killer,นักล่าสัตว์ร้าย
TraitName_免疫中毒,Poison Immunity,ต้านทานพิษ
TraitName_免疫封穴,Seal Immunity,ต้านทานสกัดจุด
TraitName_免疫流血,Bleed Immunity,ต้านทานเลือดไหล
TraitName_免疫致盲,Blind Immunity,ต้านสถานะตาบอด
TraitName_免疫内伤,Internal Injury Immunity,ต้านทานบาดเจ็บภายใน
TraitName_触类旁通,Analyzing,นักวิเคราะห์
TraitName_大器晚成,Slow starter,คนหัวช้า
TraitName_庄周梦蝶,Dream training,ฝึกฝนยามหลับ
TraitName_手到擒来,Easy as pie,ง่ายเหมือนปอกกล้วย
TraitName_心灵手巧,Dexterous hands,มือที่ชำนาญ
TraitName_火眼金睛,Eye for details,ใส่ใจรายละเอียด
TraitName_谋生有道,Survival expert,เชี่ยวชาญการเอาตัวรอด
TraitName_歪门邪道,Street boy,เด็กข้างถนน
TraitName_道貌岸然,Pretentious,อวดรู้
TraitName_惺惺相惜,Sympathetic,เห็นอกเห็นใจ
TraitName_异性相吸,Sex appeal,ดึงดูดสตรีเพศ
TraitName_乐不思蜀,Optimistic,มองโลกในแง่ดี
TraitName_立竿见影,Regenerative body,กายวิเศษ
TraitName_身如鬼魅,Rapid response,ตอบสนองรวดเร็ว
TraitName_随手烟尘,Dust thrower,จอมสาดทราย
TraitName_精通兽语,Animal whisperer,สหายสัตว์โลก
TraitName_辣手摧花,Female hater,ชิงชังสตรี
TraitName_嫉恶如仇,Evil slayer,นักล่าปีศาจ
TraitName_战意凛然,Burning spirit,จิตวิญญาณลุกโชน
TraitName_妙手空空,Sleight of hand,มืออันว่องไว
TraitName_明察秋毫,Discerning eyes,สายตาเฉียบคม
TraitName_玄门正宗,Authentic sect,สำนักเที่ยงแท้
TraitName_众志成城,United we stand,รวมกันเราอยู่
TraitName_飞星连珠,Throwing expert,ผู้เชี่ยวชาญอาวุธลับ
TraitName_九流杂学,Streetwise,ราชาท้องถนน
TraitName_逆流而上,Upstream walk,ฝ่าคลื่นลม
TraitName_兵器亲和,Weapon expert,เชี่ยวชาญอาวุธ
TraitName_医术精研,Medical master,ปรมาจารย์แพทย์
TraitName_儒者之风,Disciples of Confucius,ศิษย์ขงจื้อ
TraitName_菩提禅心,Buddha heart,หัวใจพุทธะ
TraitName_摸金校尉,Tomb raider,โจรปล้นสุสาน
TraitName_日进斗金,Daily income,รายได้รายวัน
TraitName_毒蛊寄生,Poisonous parasite,ปรสิตพิษ
TraitName_皮糙肉厚,Hardy,แข็งกร้าว
TraitName_心宽体胖,Happy fatty,อารมณ์ดี
TraitName_酩酊醉意,Bad drunker,ขี้เมา
TraitName_交游广阔,Well-connected,เพื่อนฝูงมากมาย
TraitName_动如脱兔,Like a rabbit,รวดเร็วดั่งกระต่าย
TraitName_护花使者,Feminism,ชื่นชมสตรี
TraitName_国公世子,Son of noble,บุตรของชนชั้นสูง
TraitName_文武状元,Top achiever,ความสำเร็จสูงสุด
TraitName_所向披靡,Undefeated,ไร้พ่าย
TraitName_天煞孤星,Lone wanderer,พเนจร​เดียวดาย
TraitName_财大气粗,Power of money,พลังเงินตรา
TraitName_死里逃生,Survival instinct,รอดพ้นจากความตาย
TraitName_兵器精通,Weapon master,ปรมาจารย์อาวุธ
TraitName_影子护卫,Secret guardian,ผู้พิทักษ์เงา
TraitName_神行无忌,Fast runner,นักวิ่งลมกรด
TraitName_草木皆兵,Perfect adaptation,ปรับตัวอย่างสมบูรณ์
TraitName_无师自通,Ravenous reader,เรียนรู้ได้เอง
TraitName_心有灵犀,Effective learner,เรียนรู้อย่างมุ่งมั่น
TraitName_万里独行,Loner,ผู้สันโดษ
TraitName_自带毒疮,Poisonous skin,กายาพิษ
TraitName_贪生怕死,Coward,ขลาดเขลา
TraitName_劫后余生,Quick recover,ฟื้นฟูรวดเร็ว
TraitName_体力充沛,Wholesome,พลังเต็มเปี่ยม
TraitName_圣贤传人,The Saint,วิญญูชน
TraitName_邪魔外道,The Devil,มารร้าย
TraitName_天命弱鸡,Absolute weakling,โชคชะตาเล่นตลก
TraitName_扮猪吃虎,Fake newcomer,แสร้งเป็นมือใหม่
TraitName_武林盟主,Jianghu Master,ผู้นำยุทธภพ
TraitName_武林霸主,Jianghu Conqueror,จอมมารยุทธภพ
TraitName_多情浪子,Romantic lover,ยอดนักรัก
TraitName_千王之王,God of gambling,เทพแห่งการเดิมพัน
TraitName_转世佛子,Reincarnated monk,พุทธองค์กลับชาติ
TraitName_碧血丹心,Path of loyalty,เส้นทางผู้ภักดี
TraitName_知行合一,Unity of Knowledge and Action,รู้แจ้งการกระทำ
TraitName_替天行道,Acting for the heavens,กระทำเพื่อสวรรค์
TraitName_匹夫有责,Every man has his duty,ทุกคนล้วนมีหน้าที่
TraitName_博采众长,Learn from everyone,เรียนรู้จากทุกหนแห่ง
TraitName_追命阎罗,Death master,ปรมาจารย์แห่งความตาย
TraitName_伙伴特征身材矮小,Short stature,ร่างเล็ก
TraitName_伙伴特征妙手空空,Sleight of hand,มืออันว่องไว
TraitName_伙伴特征手脚灵活,Quick reflex,โต้ตอบว่องไว
TraitName_伙伴特征酩酊醉意,Bad drunker,ขี้เมา
TraitName_伙伴特征皮糙肉厚,Hardy,แข็งกร้าว
TraitName_伙伴特征暴躁失控,Berserker,บ้าคลั่ง
TraitName_伙伴特征毒不走空,Fast poisoner,มือพิษว่องไว
TraitName_伙伴特征掌中带毒,Poisonous touch,สัมผัสพิษ
TraitName_伙伴特征衣袖藏毒,Hidden poison,พิษที่ซุกซ่อน
TraitName_伙伴特征心宽体胖,Happy fatty,อารมณ์ดี
