﻿DefaultPlayerName_Family,Vinegar,ซู
DefaultPlayerName_Given,Shrimp,เสี่ยวเซีย
CharacterInfo_欧阳晨,"A little shrimp just stepping into the martial world, the future is unknown, anything is possible.",เด็กน้อยที่เริ่มก้าวเข้าสู่ยุทธภพ อนาคตไม่แน่นอน ทุกสิ่งล้วนเป็นไปได้
CharacterInfo_长春子,"A second-generation disciple of the Taoist Sect, responsible for presiding over the Zhenwu Sword Formation and training new disciples in the Taoist Sect. He is upright, humble, and an Evil slayer, highly appreciated by the head of the Taoist Sect. However, his stubborn and inflexible character makes his uncle La Tazhang quite helpless."
CharacterInfo_苗木黎,"Chief of the Jiuli Tribe, has a deep understanding of toxins, only wishes to revive the tribe and take revenge on the Central Plains martial arts sects that have oppressed them for a long time, will stop at nothing to achieve this goal.",หัวหน้าเผ่าจิวลี่ศึกษาเรื่องการใช้พิษจนกระจ่าง เพื่อหวังฟื้นฟูเผ่าตนและล้างแค้นเหล่าชาวยุทธ์จงหยวนที่ข่มเหงพวกเขามาช้านาน ไม่สำเร็จการไม่เลิกรา
CharacterInfo_洪小七,"A little beggar wandering in the Nameless village, idle all day, relying on petty theft to barely make ends meet."
CharacterInfo_任中横,"The master of the Pojun Hall of the Holy Fire Sect, appears rough but is actually thoughtful, has selected many outstanding disciples for the Holy Fire Sect.",ผู้นำหอป๋อจุนแห่งนิกายเพลิงศักดิ์สิทธิ์ ภายนอกหยาบกร้านแท้จริงเป็นคนเจ้าปัญญา ได้คัดเลือกศิษย์อันโดดเด่นเพื่อนิกายเพลิงศักดิ์สิทธิ์มาไม่น้อย
CharacterInfo_苗彩蝶,"The holy woman of the Jiuli tribe, the younger sister of the tribal chief Miao Muli. She is lively and innocent by nature, and can naturally communicate with insects. Because she was poisoned by Miao Muli from a young age, her hair turned white as snow and she looks like a young girl."
CharacterInfo_释嗔,"Originally a disciple of Shifa Temple, he was called to serve in the army to defend the border and was promoted to the rank of Chuxiang City. Later, he accidentally learned of Lü Wenhuan's collusion with the enemy. Unwilling to be corrupted, he was framed and wanted by the government. He had no choice but to change his appearance and travel around as a monk."
CharacterInfo_凌鸿轩,"{Ling Mengdie}'s elder brother, a rising star in the martial arts world, who travels everywhere seeking medical advice to cure his sister's strange disease, finally arrives at the Confucius Temple. He is arrogant and shows no good face to anyone, but is completely obedient to his sister.",{Ling Mengdie} เป็นพี่คนโต เปรียบดั่งดาวรุ่งผู้ผุดขึ้นในยุทธจักร เขาเดินทางไปทุกหนแห่งเพื่อหาวิธีรักษาโรคประหลาดให้น้องสาวตน จนในที่สุดก็ได้มาถึงอารามขงจื๊อ หยิ่งทะนงและไม่มีไมตรีต่อผู้ใด เชื่อฟังน้องสาวผู้เดียวเท่านั้น
CharacterInfo_凌梦蝶,"{Ling Hongxuan}'s younger sister, who is intelligent and well-read, has a deep understanding of the martial arts of various sects. She was born with a strange disease and lacks vitality, often falling into slumber.",คนน้องสาว {Ling Hongxuan} เป็นผู้มีปัญหาปราดเปรื่องรอบรู้วรยุทธสำนักต่างๆมากมาย นางเกิดมาพร้อมกับโรคประหลาดและขาดกำลังวังชา มักง่วงนอนอยู่บ่อยครั้ง
CharacterInfo_叶银瓶,"The daughter of Ye Pengju, she grew up with her father in the Ye Family Battalion. She is bored with the dull rules of the army and yearns for the free and exciting world of martial arts. Unfortunately, she lacks enough knowledge and experience, and is not cautious enough in her actions. She often causes various troubles and can only endure being grounded by her father time and time again."
CharacterInfo_佟道辅,"The head of the Imperial City Department, originally a favorite of the emperor, held a high-ranking position under the emperor, responsible for monitoring the dynamics of all forces in the world. With the emperor being captured by the Yan Kingdom, the political situation was turbulent for a while, and he also placed bets everywhere looking for a suitable backer."
CharacterInfo_叶鹏举,"The founder of Ye Family Battalion, the Jiedushi of Zhao Kingdom. He was loyal to Zhao Kingdom all his life, with many elite soldiers under his command. He has led troops to resist the southern invasion of Yan Kingdom many times, with outstanding military achievements. He loves his soldiers like his own children and has a lot of insights into the training of soldiers, but he is very troubled by the education of his children.",ผู้ก่อตั้งกองพันตระกูลเย่ ผู้บัญชาการทหารแห่งอาณาจักรจ้าว เขาซื่อสัตย์ต่ออาณาจักรจ้าวมาทั้งชีวิต พร้อมไปด้วยทหารชั้นยอดมากมายคอยติดตาม หลายต่อหลายครั้งที่เขาได้นำกองทัพคอยต่อต้านการรุกรานของอาณาจักรหยาน จนเต็มไปด้วยผลงานโดดเด่นมากมาย เขานั้นรักทหารเหมือนกับลูกของตัวเอง และเชี่ยวชาญการฝึกฝนทหารเป็นอย่างมาก แต่ถึงอย่างนั้นเขากลับมีปัญหาในการสั่งสอนลูกจริงๆของตน
CharacterInfo_重阳子,"The current leader of Taoist Sect, one of the legendary ""Eight Saints"". He was seriously injured while defending Chuxiang City decades ago and lost all his martial arts skills, but he realized the truth of nature and his martial arts skills were even better than before. Under his leadership, the disciples of Taoist Sect are all upright and righteous, saving the world and helping the people, with a strong sense of chivalry.",ผู้นำคนปัจจุบันของสำนักเต๋า หนึ่งในแปดเซียนในตำนาน หลายสิบปีก่อน เขาได้บาดเจ็บสาหัสจากการปกป้องเมืองฉู่เซียง กระทั่งสูญเสียวรยุทธทั้งหมดไป แต่นั่นเองที่ทำให้เขาเข้าถึงแก่นแท้ของธรรมชาติ ทำให้มีวรยุทธที่กล้าแข็งยิ่งกว่าเก่า ภายใต้การนำของเขาคนนี้ เหล่าสานุศิษย์แห่งสำนักเต๋าต่างก็เปี่ยมไปด้วยความซื่อสัตย์มากคุณธรรม ช่วยเหลือโลก ช่วยเหลือผู้คน ด้วยความกล้าหาญอย่างยิ่งยวด
CharacterInfo_方啸天,"The leader of the Holy Fire Sect, one of the legendary ""Eight Saints"". After defending Chuxiang City, he went to the Western Regions according to the agreement of the Eight Saints, and then established the Holy Fire Sect in the Western Regions to protect the distressed people, and his power shook the Western Regions. After living in the Western Regions, Fang Xiaoian saw the situation in the Central Plains more clearly. He wanted to settle the disputes before the world was in chaos, but he didn't expect this move to make the world more turbulent."
CharacterInfo_柴王爷,"The descendant of the former dynasty's royal family, who still has a noble status in this dynasty, can sit on an equal footing with Qi Wang and Kang Wang. Although he is not a martial artist, he is well acquainted with all the major sects in the martial arts world and knows all the major events in the martial arts world.",ผู้สืบทอดของราชวงค์เก่าที่ยังคงมีสถานะชั้นสูงอยู่ในราชวงค์ปัจจุบัน กระทั่งสามารถนั่งเทียบเคียงกับ ฉีหวัง และ คังหวัง ได้ด้วยซ้ำ แม้เขาจะไม่ใช้ผู้ฝึกยุทธ แต่ก็สนิทสนมกับเหล่าสำนักหลักในยุทธภพ อีกทั้งยังรู้ข่าวคราวทั่วยุทธภพอีกด้วย
CharacterInfo_邋遢张,"Zhong Yangzi's junior brother, a lover of wine, but with extraordinary talent, he entered the Passive through the way of wine, reaching a realm that ordinary people can hardly reach. He is lazy by nature, does not care about trivial matters, and dislikes pretentious people the most."
CharacterInfo_蔡元常,"The curator of Confucius Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he lamented that the quality of talents was declining too fast, so he began to advocate quality education, hoping to improve the overall quality of Confucian students. Under his leadership, Confucius Temple is full of talents and has become a top power."
CharacterInfo_蔡攸之,"The only son of Cai Yuanchang, and also the designated successor of the Confucius Temple by Cai Yuanchang."
CharacterInfo_损道人,"Originally a wandering Taoist priest, he was appreciated by Jiang Nanguai when he was down and out. He swindled under the guise of a Taoist priest from the White Cloud Temple, and many people in Chuxiang City were fooled by him. His real identity is actually one of the four managers of the Nine Factions Sect, and his skills are even better than Jiang Nanguai's."
CharacterInfo_邪戏子,"One of the four stewards of Nine Factions Sect, whose identity and gender are a mystery. Every time she appears in front of people, she is dressed up as an opera performer, with every move full of opera rhythm. Her dance is graceful and captivating."
CharacterInfo_曼陀罗,"Mysterious dancer from the Western Regions, with unparalleled beauty, any man who sees her, even just a glance, will fall for her. Disappointed with the men in the world, she chose to live in seclusion in Snowflower Valley, accompanied by nature, birds and beasts."
CharacterInfo_步绝尘,"The leader of Nest of Swallow, who has a good Qinggong of Traceless step, often sneaks into wealthy families to steal money and food to help the poor.",ผู้นำแห่งรังนกนางแอ่น เป็นยอดด้านวิชาตัวเบา ไร้ร่องรอยสืบเสาะ มักจะลอบเข้าไปขโมยของจากตระกูลร่ำรวยแล้วนำไปช่วยเหลือคนยากจนอยู่เสมอ
CharacterInfo_华严,"A high monk of Shifa Temple, who practices Buddhism in the temple all day, never leaves the temple or hurts people, but has a kind of oppressive power that is not angry and prestigious."
CharacterInfo_慧元,"The abbot of Shifa Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he returned to Shifa Temple to promote Buddhism and save the souls of those who died in decades of war. On the other hand, he opened the door of Buddhism to shelter the people, and repeatedly sent monk soldiers to sabotage the military plans of the Yan Kingdom, which caused him to be hated by the head of the Yan army."
CharacterInfo_癞头癫,"A wandering monk from Shifa Temple, a disciple of Abbot Hui Yuan. He is carefree, does not chant sutras or worship Buddha, behaves strangely and is a meat eater. However, he is compassionate and has helped many in need, earning him the respect of the people as a living Bodhisattva."
CharacterInfo_秦会之,"A trusted civil official of Kang Wang, he holds a high position in Duke Kang's manor and has earned Kang Wang's trust. Kang Wang often follows his advice.",เจ้าหน้าที่คังหวังไว้วางใจ. เขาดำรงตำแหน่งสูงในตำหนักองค์ชายคัง และได้รับความไว้วางใจจากคังหวัง. คังหวังมักทำตามคำแนะนำของเขา
CharacterInfo_完颜昭宁,"The princess of Yan Kingdom, the niece of Wan Yan Wuzhu and the cousin of Wan Yan Liang. She has the ambition and talent of a man, and wants to eliminate wars and create a peaceful world by helping Wan Yan Wuzhu unify the world."
CharacterInfo_恶乞丐,"One of the four stewards of the Nine Factions Sect, he was born a beggar but never accepts charity. He begs in the streets and alleys, and any wealthy family he passes by, whether they give him alms or not, will be robbed clean a few days later. Once on a whim, he taught Hong Xiaoqi some skills to protect himself."
CharacterInfo_毒牙婆,"One of the four stewards of the Nine Factions Sect, he was once a disciple of the Plant Sect and the junior brother of Qu Wangyou. He ran away from the Plant Sect because he was not chosen as the sect leader. He has a deep understanding of toxins and can poison people without them knowing. Those who are poisoned often find that they are beyond help by the time they realize they are poisoned.","หนึ่งในสี่ผู้ดูแลของนิกายเก้าฝ่าย, เขาเคยเป็นศิษย์ของสำนักพฤกษา และเป็นน้องชายของฉู่หวังโหย่ว เขาหนีออกจากสำนักพฤกษาเพราะเขาไม่ได้รับเลือกให้เป็นเจ้าสำนัก เขามีความเข้าใจอย่างลึกซึ้งเกี่ยวกับสารพัดพิษและสามารถวางยาพิษผู้คนได้โดยที่พวกเขาไม่รู้ ผู้ที่ถูกวางยาพิษมักจะพบว่าตนเองไม่สามารถรักษาได้เมื่อรู้ตัวว่าถูกวางยาพิษ"
CharacterInfo_庖春秋,"The owner of the butcher's shop in Daliang City. His ancestors were royal chefs for generations, but the ancestral skills were lost, and Pao Chunqiu became the owner of a regular butcher's shop in Daliang City.",เจ้าของร้านขายเนื้อประจำเมืองต้าเหลียง บรรพบุรุษของเขาเป็นพ่อครัวหลวงมาหลายต่อหลายรุ่น แต่เนื่องจากทักษะที่สืบทอดมาได้สูญหายไป เปาชุนชิว จึงได้กลายมาเป็น เจ้าของร้านขายเนื้อประจำเมืองต้าเหลียงแทน
CharacterInfo_秦阎罗,"The owner of the Relic House in Lin'an City, he has a grudge against Yi Zhihua from Daliang City and is willing to use the power of Dragonfly City to defeat him."
CharacterInfo_叶云,"The eldest son of Ye Pengju, the vanguard officer of the Ye Family Battalion, possesses Herculean strength and has made numerous military achievements. He is impulsive and often disobeys military orders to fight on his own. Although he often wins by luck, he still gets punished according to military regulations, which makes him resentful."
CharacterInfo_完颜乌珠,"The fourth prince of the Yan Kingdom and the grand marshal of the Yan Yun Iron Army. He successfully captured the emperor of the Zhao Kingdom and supported Qi Wang, commanding Qi Wang to rule the country in the name of the Zhao emperor and lead the Yan Yun Iron Army to dominate the Central Plains, ready to invade and swallow the entire territory of the Zhao Kingdom.",องค์ชายสี่แห่งอาณาจักรหยาน และแม่ทัพใหญ่แห่งทัพเหล็กหยานหยุน เขาสามารถจับตัวฮ่องเต้อาณาจักรจ้าวได้สำเร็จ และได้สนับสนุน ฉีหวัง อยู่เบื้องหลังเพื่อให้เขาขึ้นเป็นจักรพรรดิแห่งอาณาจักรจ้าว จากนั้นจึงค่อยรุกราน และกลืนกินอาณาจักรจ้าว เป็นการยึดครองดินแดนภาคกลางในที่สุด
CharacterInfo_完颜亮,"A member of the Yan royal family, the nephew and deputy of Wan Yan Wuzhu. He advises Wan Yan Wuzhu and has set a series of strategies against the martial arts forces, using various means to divide and win over the martial arts people, intending to clear the obstacles for the subsequent southern invasion.",สมาชิกของราชวงศ์หยาน หลานชายและรองของหวันหยานอู๋จู เขาให้คำแนะนำแก่หวันหยานอู๋จู และได้กำหนดกลยุทธ์ต่างๆ เพื่อต่อต้านกองกำลังของเหล่าจอมยุทธ์ โดยใช้วิธีต่างๆ ในการแบ่งแยกและเอาชนะเหล่าจอมยุทธ์ โดยตั้งใจที่จะขจัดอุปสรรคสำหรับการรุกรานทางใต้ในภายหลัง
CharacterInfo_萧元霸,"He was once a slave raised by the Yan royal family. He is strong and powerful, and was discovered by Wan Yan Wuzhu, who brought him back to the Yan Yun Iron Army for careful cultivation. A few years later, Xiao Yuanba became a brave vanguard general who has made great military achievements.",ครั้งหนึ่งเขาเคยเป็นทาสที่ได้รับการเลี้ยงดูจากราชวงศ์หยาน เขาแข็งแกร่งและทรงพลัง และถูกเจอโดยหวันหยานอู๋จู ซึ่งนำเขากลับไปที่กองทัพเหล็กหยานหยุน ในการฝึกฝนอย่างระมัดระวัง ไม่กี่ปีต่อมา เซียวหยวนป้าก็กลายเป็นนายพลแนวหน้าผู้กล้าหาญและประสบความสำเร็จทางทหารอย่างยิ่งใหญ่
CharacterInfo_定风波,"The leader of the Jiujiang Water Camp, he has gathered a large number of followers under the banner of ""equality of all, sharing of wealth"", and his power is so great that it can be compared with the army. Under the proposal of the military strategist Zhu Ge Shenji, he wants to further expand his power and share Jiangnan with Kang Wang.","ผู้นำค่ายน้ำจิ่วเจียงเขาได้รวบรวมผู้ติดตามจำนวนมากภายใต้ข้อความของ ""ความเสมอภาคของทุกคน แบ่งปันความมั่งคั่ง"" และพลังของเขายิ่งใหญ่มากจนสามารถเทียบเคียงกับกองทัพได้ ภายใต้ข้อเสนอของนักยุทธศาสตร์การทหารจูเก๋อ เฉินจี เขาต้องการขยายอำนาจของเขาเพิ่มเติม และแบ่งปันมณฑลเจียงหนานกับคังหวัง"
CharacterInfo_诸葛神机,"The military strategist of the Jiujiang Water Camp, who has earned Ding Fengbo's trust, and has set the goal of dividing Jiangnan and ruling the waterways for Ding Fengbo.",นักกลยุทธ์แห่งค่ายน้ำจิวเจียง ได้รับความไว้วางใจจากติงเฟิงป๋อเป็นอย่างมาก วางแผนจะแบ่งแยกเจียงหนาน และปกครองทางน้ำให้ติงเฟิงป๋อ
CharacterInfo_定海棠,"The second in command of the Jiujiang Water Camp and Ding Fengbo's younger sister, she is in charge of all matters in the Jiujiang Water Camp, which is well-organized under her management. She is very dissatisfied with Zhu Ge Shenji's actions and does not agree with the strategy of dividing Jiangnan.",ผู้บัญชาการอันดับสองแห่งค่ายน้ำจิ่วเจียง และเป็นน้องสาวของติงเฟิงป๋อ เธอมีหน้าที่ดูแลสิ่งต่างๆในค่ายน้ำจิ่วเจียง ซึ่งก็ทำได้อย่างยอดเยี่ยม เธอไม่พอใจ และไม่เห็นด้วยกับแผนการแบ่งแยกเจียงหนานของจูเก๋อเป็นอย่างมาก
CharacterInfo_穆再兴,"The adopted son of General Yang, who narrowly escaped after General Yang was killed. He changed his surname to Mu to avoid revenge and no longer interacts with others. Although he is blind, he has developed the ability of auditory sight and protects the peace of Zhongzhou ferry by himself.",บุตรบุญธรรมของแม่ทัพหยางรอดตายอย่างหวุดหวิดหลังจากแม่ทัพหยางถูกสังหาร เขาเปลี่ยนแซ่เป็น มู่ เพื่อหลบหนีหารแก้แค้น และไม่สุงสิงกับผู้ใด แม้ว่าเขาจะตาบอด เขาก็ยังพัฒนาความสามารถในการมองด้วยเสียง และปกป้องความสงบสุขของเรือข้ามฟากจงโจวด้วยตัวเอง
CharacterInfo_扶摇子,"The head of Linlang Temple, the leader of the legendary ""Eight Saints"", lives alone in Linlang Temple. It is said that he is over a hundred years old, has seen all the joys and sorrows, separations and reunions, and blood and gore in the world, and nothing can stir his heart.\nThe only thing he cares about is the oath of the ""Eight Saints"". If anyone breaks the oath, he will punish them himself.",เจ้าอารามหลินหลาง ผู้นำของแปดเซียนในตำนาน อาศัยอยู่คนเดียวในอารามหลินหลาง ว่ากันว่าปัจจุบันมีอายุมากกว่าร้อยปีแล้ว ได้พบเจอทั้งสุขทุกข์ การพบเจอ การแยกจาก การฆ่าสังหาร มาทั้งหมด จนไม่มีสิ่งใดสามารถสั่นคลอนจิตใจได้อีก\nมีอยู่เพียงสิ่งเดียวที่เขาสนใจ นั่นคือคำสาบานของ แปดเซียน ผู้ใดผิดคำสาบานนั้น เขาจะลงโทษมันผู้นั้นด้วยตนเอง
CharacterInfo_残棋,"One of the four sages of the Confucius Temple, who was obsessed with martial arts in his early years, but due to the reversal of his meridians, he became paralyzed in his lower limbs and lacked vitality throughout his body. After becoming paralyzed, he studied chess and gained a deeper understanding of martial arts through the complex and changing chess game."
CharacterInfo_剑痴,"The master of Langya Sword Pavilion, one of the legendary ""Eight Saints"", is recognized as the world's number one swordsman. He has been obsessed with swordsmanship since he was a child, and was fortunate to be guided by a peerless master. At a young age, he defeated all the heroes in the world with a single Qingfeng sword. After guarding Chuxiang City, he elevated his swordsmanship to the level of swordsmanship, reaching the realm where everything is a sword.",เจ้าสำนัก ศาลากระบี่หลางหยา หนึ่งใน แปดเซียน ในตำนาน ได้รับขนานนามว่าเป็น มือกระบี่อันดับหนึ่ง ตัวเขานั้นหลงไหลในวิชากระบี่มาตั้งแต่ยังเด็ก และโชคดีได้รับการสั่งสอนจากอาจารย์ที่ไร้ผู้เปรียบ ตั้งแต่สมัยหนุ่ม เขาก็สามารถเอาชนะเหล่าผู้กล้าทั่วหล้าด้วยกระบี่ฉิงเฟิงเพียงเล่มเดียว หลังจากเหตุการณ์คุ้มกันเมืองฉู่เซียง ก็สามารถยกระดับวิชากระบี่ของตน เข้าสู่เขตแดนทุกสิ่งล้วนเป็นกระบี่
CharacterInfo_欧冶恒,"A disciple of Langya Sword Pavilion, a descendant of the swordsmith giant Ou Yezi, who experienced a great change in his family when he was young, and was luckily saved by Jian Chi's visit. Jian Chi was afraid that he still had demons in his heart and would fall into the evil way if he sought revenge, so he only taught him the method of sword casting, but Ou Ye Heng was quite talented and realized swordsmanship in the method of sword casting.",ศิษย์แห่งศาลากระบี่หลางหยา ผู้สืบทอดของช่างตีกระบี่ยักษ์ อู่เย่ซี เมื่อเขายังเด็ก ก็ได้พบเจอการเปลี่ยนแปลงครั้งยิ่งใหญ่ภายในตระกูล แต่โชคดีที่ถูกมารกระบี่ช่วยไว้ มารกระบี่นั้นกลัวว่าเขาจะยังมีจิตมารอยู่ในใจ และจะก้าวสู่หนทางแห่งการแก้แค้นจึงได้สอนเพียงวิชาหลอมกระบี่ ถึงอย่างนั้น ด้วยพรสวรรค์ของเขา ก็สามารถเข้าถึงสำนึกกระบี่ได้จากวิชาหลอมกระบี่นั่นเอง
CharacterInfo_韩红玉,"The current head of Tiger Escort, she is bold and straightforward. She has loved weapons since she was a child and dislikes housework. She took over the management of Tiger Escort after the previous head disappeared. Despite the decline of Tiger Escort, she still strives to keep it going."
CharacterInfo_独孤剑一,"An orphan adopted by Jian Chi, who is extremely intelligent and talented, can memorize a sword move after seeing it once, but this has made him arrogant and impetuous. Therefore, Jian Chi ordered him to guard the Weapon Pavilion, hoping that he could calm down one day.",เด็กกำพร้าที่มารกระบี่รับมาเลี้ยง เปี่ยมด้วยความสามารถ และพรสวรรค์ สามารถจดจำท่วงท่ากระบี่ได้แม้เห็นเพียงครั้งเดียว นี่เองที่ทำให้เขาเป็นคนเย่อหยิ่งและหุนหันพลันแล่น ดังนั้น มารกระบี่จึงได้สั่งให้เขาทำหน้าที่ป้องกันศาลากระบี่ หวังว่าสักวันเขาจะสงบจิตใจตนได้
CharacterInfo_柳生武藏,"The lord of Dragonfly City, the heir of a Japanese swordsmanship family, admired the craftsmanship and Passive of Central Plains weapons when he was young, so he visited Central Plains several times, hoping to learn something. After making a fortune, he established Dragonfly City as his base in Central Plains, intending to glorify the Liu Sheng family's Fame."
CharacterInfo_服部兵卫,"The deputy lord of Dragonfly City, Liu Sheng Wucang's junior brother and capable assistant, unlike Liu Sheng Wucang, Fu Bu Bingwei is decisive and ambitious, believing that Japanese swordsmanship is far superior to Central Plains martial arts, and wants to prove this to the world.","ใต้เท้าเมืองแมลงปอ, น้องชายของหลิวเซิงหวู่ชาง และผู้ช่วยที่มีความสามารถ ต่างจากหลิวเซิงหวู่ชาง ตรงที่ ฟู่ปูปิงเว่ย มีความเด็ดขาดและทะเยอทะยาน โดยเชื่อว่าทักษะการใช้ดาบของญี่ปุ่นนั้นเหนือกว่าวิทยายุทธที่แผ่นดินจงหยวนมากและต้องการพิสูจน์สิ่งนี้ให้โลกได้รับรู้ ."
CharacterInfo_月咏樱羽,"The adopted daughter of Liu Sheng Wucang, she operates in the Central Plains, collecting information and manpower for Dragonfly City. She is a beautiful but ruthless character."
CharacterInfo_孔一刀,"The leader of Blue Wind Camp, who is highly skilled in martial arts and generous, values the brothers who were born and died with him. As the leader of the bandits, he restrains his men everywhere, does not offend the surrounding people, and only robs corrupt officials who pass by.",ผู้นำค่ายวายุคราม ใจกว้างและมากฝีมือ ให้ความสำคัญกับพี่น้องเป็นตายเป็นอย่างมาก แม้จะมีฐานะเป็นหัวหน้าโจร แต่เขาก็คอยควบคุมคนของตัวเองอย่างเคร่งครัด ไม่ให้ล่วงเกินผู้คน และจะปล้นแต่เพียงข้าราชการทุจริตที่ผ่านมาเท่านั้น
CharacterInfo_计百出,"The head of the Seven Kill Hall of the Holy Fire Sect, whose martial arts are mediocre, but he is wise and resourceful, and is an indispensable think tank for Fang Xiaoian.",หัวหน้าหอเจ็ดสังหารแห่งนิกายเพลิงศักดิ์สิทธิ์ ฝีมือธรรมดา แต่เขาฉลาดและมีไหวพริบสูง เป็นมันสมองสำคัญที่ขาดไม่ได้สำหรับฟางเสี่ยวเทียน
CharacterInfo_顾倾城,"The number one courtesan in the world, the deputy of the master of Melody House, her beauty is comparable to Luo Xian, her piano skills are only matched in heaven, and her gentle and elegant personality attracts countless men.",หญิงงามอันดับหนึ่งของแผ่นดิน ผู้นำแห่งตำหนักบทเพลง ความงามของเธอเทียบได้กับหลัวเซียน ความสามารถเชิงดนตรีนั้นสูงส่งจนมีเพียงเทพเจ้าที่เทียบได้ อีกทั้งยังมีสุภาพอ่อนหวาน ได้ใจบุรุษนับไม่ถ้วน
CharacterInfo_说书人,"A martial artist of the Jianghu, his lifelong wish is to write a biography for a hero, witnessing his legendary life."
CharacterInfo_沈无欺,"The owner of Night Demon Square, he is resourceful and likes to collect rare treasures from all over the world. He suffers from a strange disease that is causing his memory to deteriorate."
CharacterInfo_楚狂生,"A mysterious person imprisoned at the top of the Buddha Temple. Perhaps due to years of confinement, he acts crazy and moody, often speaking incoherently, making it impossible to understand his real thoughts.",บุคคลลึกลับที่ถูกคุมขังไว้ที่ยอดของอารามพุทธะ อาจเพราะถูกกักขังมานานปี จึงทำให้เขามีท่าทางเหมือนเสียสติ และหงุดหงิดตลอดเวลา พูดจาฟังไม่รู้เรื่อง ยากจะเข้าใจความคิดของเขาได้
CharacterInfo_绛紫烟,"A female Taoist with no sect, she is aloof and excels in using poison. She possesses a rare treasure, which has attracted the covetousness of the Jiuli Tribe."
CharacterInfo_牛二,"A ruffian in Chuxiang City, he is a dependant of Lü Zixu and acts as his thug."
